Avg_MHz	Busy%	PkgTmp	PkgWatt
395	23.67	71	54.40
377	20.93	71	54.35
365	19.97	72	54.12
325	19.86	72	52.12
298	19.31	71	51.71
389	22.83	71	56.19
396	19.85	71	57.10
357	19.82	72	53.83
364	20.06	72	53.81
324	18.95	71	52.04
371	21.53	72	54.03
333	20.07	72	52.40
363	20.22	72	53.83
369	20.61	72	53.92
305	18.27	70	51.23
306	19.20	72	51.74
357	20.29	72	53.40
359	19.81	73	53.48
334	20.19	72	52.66
323	20.28	70	40.73
374	21.30	71	42.57
383	21.43	71	52.75
349	19.37	71	53.36
323	19.79	72	51.35
318	19.49	72	52.74
369	20.60	71	53.97
327	19.72	72	52.53
324	20.44	73	51.84
357	20.09	72	52.62
313	20.26	71	46.16
393	21.37	71	57.24
396	21.14	71	55.74
365	19.68	73	54.17
349	19.48	71	53.66
293	19.19	71	51.66
313	19.68	72	51.83
360	20.25	72	54.05
355	19.64	72	53.86
313	19.25	72	52.12
286	19.26	71	40.63
334	20.11	71	41.18
355	22.04	71	41.65
331	20.01	72	40.86
316	20.09	72	40.23
325	21.36	70	47.20
393	21.23	72	57.35
386	20.05	73	57.22
360	19.52	72	54.24
351	19.51	73	53.30
326	20.77	72	52.69
375	20.24	72	56.34
353	21.12	72	53.56
359	20.73	71	49.07
340	19.81	71	41.26
309	19.04	71	53.14
324	19.46	71	52.21
365	20.39	71	53.95
359	19.68	72	53.82
337	19.26	71	52.70
344	20.12	71	53.08
364	20.11	72	54.02
360	21.65	72	53.51
312	19.43	71	48.59
294	19.28	70	37.76
343	22.37	71	41.65
397	21.34	71	55.06
387	20.41	71	57.00
361	19.78	71	54.00
341	19.17	71	52.74
349	20.08	71	53.37
318	18.55	71	52.30
369	21.78	73	53.64
348	20.77	72	53.07
310	19.02	71	47.68
293	20.36	70	41.79
361	22.59	72	44.65
406	21.47	72	47.27
403	20.69	72	56.25
391	20.32	71	57.16
367	20.19	71	54.31
366	20.33	72	53.22
381	21.45	70	54.08
299	18.91	70	50.83
285	18.44	71	50.71
350	21.39	71	52.24
367	20.52	70	54.11
327	19.31	71	52.43
360	20.37	71	53.52
332	19.00	71	52.49
364	20.64	71	53.57
328	19.95	71	52.83
412	23.08	71	57.45
412	21.03	72	58.30
360	18.94	71	54.98
300	19.53	71	51.03
377	22.84	72	55.90
411	21.48	71	58.69
404	20.84	71	58.22
328	19.85	70	53.43
384	22.13	71	56.23
403	20.80	71	58.44
422	21.82	71	58.85
381	20.05	72	56.11
300	18.68	70	51.39
391	23.19	71	56.29
409	20.92	71	58.58
378	19.99	72	55.76
364	20.20	71	53.70
320	19.52	71	52.10
386	22.34	70	56.33
363	19.61	71	54.45
383	21.63	70	54.27
369	20.57	71	53.91
305	18.44	71	51.57
308	19.61	70	51.20
302	20.04	70	51.59
399	22.67	71	57.34
370	19.76	70	56.93
302	19.55	69	52.32
393	21.91	71	57.10
396	20.29	72	58.66
415	21.58	71	59.05
399	21.71	71	57.26
405	20.44	71	59.79
413	21.55	71	58.77
396	20.15	69	58.02
393	20.28	70	57.34
386	19.99	70	57.06
396	20.75	70	58.05
403	20.66	70	58.98
409	20.90	71	59.08
414	21.88	71	59.06
418	21.76	71	59.27
387	20.69	71	56.13
404	21.71	71	60.60
403	20.89	71	58.89
401	20.55	71	58.46
383	20.14	70	56.95
362	19.76	69	54.35
361	20.01	70	53.69
360	19.81	70	53.95
377	21.27	71	54.41
289	18.91	70	48.18
343	22.47	70	43.01
391	21.45	71	45.77
314	19.07	71	47.09
346	20.95	71	41.46
311	19.73	69	38.23
349	20.94	70	41.04
316	19.28	71	40.79
364	20.86	71	52.17
384	21.75	71	54.55
336	19.75	70	52.60
287	18.40	71	51.24
352	20.90	72	53.03
378	21.27	72	54.40
371	20.72	71	54.37
326	18.75	70	52.60
373	21.17	70	54.26
372	20.58	71	54.17
365	20.02	71	54.46
333	20.28	70	53.12
329	20.32	72	52.32
352	20.40	71	53.07
369	20.26	70	54.48
320	19.12	71	52.40
374	21.28	71	54.38
338	19.24	71	52.99
366	20.43	72	54.07
310	18.42	71	52.21
366	20.75	73	54.31
371	20.62	72	54.42
351	20.73	72	53.38
298	19.17	72	51.88
396	22.29	72	57.67
413	21.09	72	59.32
433	22.49	72	59.43
382	19.81	72	57.28
369	20.17	72	54.35
368	20.17	71	53.95
371	20.45	71	54.12
288	18.58	72	50.46
341	21.57	72	53.06
388	22.59	71	56.43
407	20.72	72	58.71
384	20.44	71	56.09
375	20.60	72	54.56
324	19.30	72	52.94
385	21.78	71	56.45
361	19.96	72	54.62
368	20.21	72	54.57
361	20.15	72	53.96
300	20.37	71	51.12
296	19.40	72	50.57
324	18.68	72	44.14
276	15.23	71	50.49
295	15.41	71	40.20
259	14.20	71	38.97
267	15.26	72	38.93
296	15.12	70	40.68
286	14.77	70	43.45
259	14.81	71	48.52
262	16.20	72	50.96
347	17.64	72	55.51
336	15.00	72	56.16
312	15.46	71	52.38
309	15.55	72	51.87
267	14.22	71	49.74
281	14.55	71	50.96
274	14.92	72	50.20
302	15.11	72	51.63
291	14.62	71	50.94
248	14.50	71	49.27
258	15.04	72	49.26
302	15.32	72	51.55
310	15.67	72	51.84
300	15.26	71	51.40
270	14.41	71	50.05
304	15.26	70	51.53
304	15.11	71	51.92
273	14.09	71	50.23
250	14.19	71	43.82
316	17.11	71	59.12
310	15.46	71	52.01
257	14.21	70	49.75
312	16.55	72	51.89
