Avg_MHz	Busy%	PkgTmp	PkgWatt
328	18.36	71	52.32
317	17.98	71	52.29
331	18.60	71	52.41
301	17.42	71	51.31
309	16.87	71	40.61
302	16.98	71	46.81
332	17.64	70	52.82
342	17.99	71	53.19
333	17.26	71	52.81
290	16.02	70	50.79
336	18.07	71	53.21
356	19.08	71	53.63
343	18.06	71	53.06
284	15.74	71	51.28
313	17.16	71	51.92
313	17.70	71	51.71
335	17.42	71	53.19
291	17.01	71	51.13
332	17.94	71	52.50
274	15.68	71	51.02
339	19.53	71	53.85
351	17.88	72	55.02
337	17.67	71	52.94
327	16.81	71	52.59
287	15.70	71	48.77
315	17.70	71	54.74
331	17.36	71	52.71
342	18.00	71	53.02
322	16.72	72	52.45
293	16.79	71	50.34
359	19.13	71	56.53
389	19.01	72	57.74
381	18.34	71	57.66
329	16.24	72	53.82
293	15.79	72	50.75
330	18.17	72	52.96
323	16.82	72	52.80
297	17.00	72	51.36
329	17.19	72	52.61
280	15.81	72	50.33
317	16.86	71	52.52
304	17.55	73	51.50
343	18.23	72	52.72
330	16.97	73	53.06
300	16.18	72	51.60
323	17.56	72	52.31
327	16.79	72	52.57
335	17.39	72	52.94
315	16.38	72	51.65
294	16.38	72	51.46
332	17.20	71	53.05
345	18.21	73	53.14
323	17.47	72	52.56
295	17.13	72	51.20
264	15.20	71	50.68
333	19.86	72	53.21
350	17.04	72	55.58
334	17.47	72	53.14
319	16.54	72	52.33
300	16.65	72	51.62
309	16.26	72	52.26
304	17.17	72	51.61
344	18.18	72	53.22
325	16.64	72	52.73
273	15.68	72	50.75
296	17.46	72	50.92
318	16.59	72	50.06
320	16.77	72	45.94
269	16.30	72	42.57
263	16.44	71	35.20
322	16.97	72	40.91
325	16.63	72	46.98
330	17.97	72	52.71
306	16.76	72	51.86
279	15.17	73	50.69
333	17.64	73	53.11
298	15.73	72	51.82
301	16.53	72	51.75
315	16.70	72	51.95
305	16.49	72	51.99
295	15.89	72	52.13
302	16.77	73	51.55
353	19.00	72	53.50
325	16.61	72	52.85
277	15.77	73	51.06
319	17.21	72	52.34
327	16.81	73	52.71
324	16.54	74	52.71
302	16.20	72	51.30
325	18.69	72	53.67
366	17.66	72	57.06
366	17.03	73	57.46
365	17.75	72	56.39
325	16.59	73	52.07
283	15.61	73	51.76
327	17.09	72	52.72
289	15.77	72	51.83
314	16.93	73	52.46
304	16.23	73	52.01
320	17.13	74	52.47
287	15.80	73	51.37
320	17.40	73	52.28
342	18.03	74	52.91
323	16.83	73	52.76
296	15.90	73	52.16
342	18.23	73	53.07
329	16.94	73	53.05
323	16.46	72	52.99
292	15.91	73	51.36
323	17.26	73	52.97
326	16.62	74	53.10
327	16.74	73	53.16
295	16.48	73	51.83
318	17.39	73	52.48
290	15.99	74	51.20
325	16.61	74	53.39
279	15.34	74	50.99
322	17.13	73	53.19
294	15.99	73	51.60
315	17.07	74	52.05
272	14.86	73	51.18
320	16.99	73	52.76
338	17.68	73	53.38
313	16.51	73	51.57
304	15.96	73	53.32
322	16.54	73	52.87
329	16.91	73	53.09
323	16.42	74	52.89
290	15.84	73	51.47
324	17.02	74	52.62
324	16.47	73	53.14
324	16.32	73	53.31
294	16.33	74	51.82
306	16.67	74	51.66
301	16.31	74	52.57
323	16.43	74	53.08
280	15.67	74	51.36
320	16.79	73	52.76
286	15.76	73	51.09
317	16.85	73	52.67
271	15.17	74	50.84
320	16.74	74	52.91
336	17.60	74	53.21
303	16.11	73	52.18
310	16.11	73	52.31
320	16.38	74	53.01
328	16.81	74	53.10
312	15.95	73	52.42
262	16.49	73	44.19
398	18.48	73	65.62
360	16.77	73	57.40
353	16.42	74	57.20
337	16.95	73	54.43
265	15.08	72	49.58
295	16.76	73	52.41
305	16.14	75	52.29
300	18.05	73	52.84
349	17.19	73	56.23
330	16.75	74	53.58
289	15.77	74	50.72
282	17.59	74	52.81
354	17.76	74	56.61
363	18.33	73	57.46
291	16.02	73	52.44
313	16.43	73	52.55
322	16.37	73	53.02
328	16.83	73	53.24
294	15.29	73	51.98
311	16.93	74	52.41
323	16.35	73	53.33
322	16.28	73	53.17
287	15.20	74	52.16
318	17.64	74	52.91
257	16.01	73	49.85
287	16.52	73	51.41
265	15.20	73	42.00
281	16.98	73	40.00
285	15.61	73	40.30
294	16.57	74	42.60
289	15.86	73	51.33
306	16.65	73	51.77
315	16.10	73	52.33
331	17.38	73	52.84
322	17.24	73	52.53
318	16.36	73	52.57
318	16.30	74	52.61
323	16.66	73	52.81
285	15.13	73	50.94
311	16.76	73	52.29
328	17.06	73	52.79
320	16.40	74	52.85
275	14.88	73	50.63
318	17.55	73	52.18
303	17.34	73	51.41
321	16.56	73	52.86
260	14.02	73	50.55
305	16.10	73	51.79
265	13.70	74	50.38
293	15.57	73	51.02
264	14.49	73	50.60
302	15.68	73	51.64
