Avg_MHz	Busy%	PkgTmp	PkgWatt
638	31.69	73	68.46
634	32.68	74	66.94
581	31.53	74	66.24
683	33.07	73	70.91
682	32.15	74	73.08
701	31.79	74	74.44
587	28.80	73	68.53
529	29.68	73	62.32
534	29.75	73	60.51
552	30.61	73	62.09
581	32.58	73	62.81
581	32.39	73	62.53
519	29.31	73	60.49
545	31.32	74	61.35
615	32.47	74	65.35
601	30.49	73	66.90
580	30.56	74	64.59
559	30.96	74	59.30
424	29.89	74	34.76
813	34.36	73	78.45
620	33.60	73	57.10
570	31.74	73	61.01
566	31.49	74	51.23
623	31.92	73	57.73
622	32.30	74	54.87
569	30.72	73	52.61
535	30.05	73	49.07
552	29.95	74	51.44
557	29.92	74	63.35
512	30.27	73	59.95
516	31.22	74	59.95
552	31.46	74	61.62
612	31.33	74	65.70
578	30.13	74	65.88
612	30.78	74	66.02
599	30.46	73	67.34
621	31.64	74	66.08
575	29.10	74	65.80
608	31.80	73	66.30
530	29.62	74	62.58
542	32.84	73	60.10
526	31.25	74	62.67
631	32.77	74	68.47
655	31.39	74	70.43
624	31.07	73	68.83
592	29.76	74	65.64
576	29.85	74	65.08
516	29.61	73	62.25
526	30.82	74	60.57
557	30.76	75	62.76
521	32.33	74	57.09
578	31.08	73	65.84
580	31.02	73	63.44
581	30.63	74	64.04
622	31.00	73	62.88
594	30.78	73	73.74
643	32.34	74	68.19
547	29.10	73	62.28
555	31.07	73	61.62
605	32.09	73	60.05
585	32.34	74	68.05
569	30.99	73	63.93
598	30.44	74	64.44
654	30.78	74	67.75
685	31.35	73	72.35
643	29.78	73	70.49
532	29.41	74	62.71
577	30.42	74	62.95
528	28.91	74	62.45
476	31.03	74	56.91
546	33.00	74	49.74
615	32.15	73	54.15
581	30.73	73	52.79
621	31.82	74	63.78
586	29.59	73	67.12
531	29.20	73	61.54
476	28.79	73	58.92
593	31.64	74	64.35
579	29.66	73	64.69
507	31.04	73	58.04
563	31.95	73	64.85
631	31.48	74	66.59
620	30.15	73	66.74
541	28.97	74	60.10
534	29.30	73	62.86
607	30.62	73	65.48
650	31.82	74	69.60
662	31.03	75	70.76
612	30.45	74	67.03
613	32.35	73	65.28
596	32.30	72	63.58
570	29.94	73	62.48
531	30.15	73	63.89
616	30.58	73	59.02
585	30.77	73	78.51
556	29.28	73	64.57
564	31.26	73	64.30
589	31.82	73	65.37
525	28.70	73	65.19
463	31.63	73	54.87
556	33.07	73	65.71
623	31.76	73	67.91
672	30.88	74	70.91
518	28.28	73	63.52
574	31.65	75	63.45
595	30.84	74	67.92
576	29.76	74	65.86
557	29.49	73	64.43
509	29.72	73	60.92
642	34.86	73	66.74
663	33.06	74	68.67
619	29.81	74	67.77
618	30.27	74	66.88
554	29.82	73	63.80
626	32.92	73	67.44
589	29.71	74	65.55
586	29.71	73	64.73
564	29.30	74	63.10
530	29.55	73	61.18
545	32.37	75	61.39
521	31.12	73	61.46
572	31.23	73	63.18
585	30.95	73	64.16
600	30.74	73	65.03
672	30.48	74	71.20
686	30.24	74	72.87
612	29.83	74	69.49
626	31.60	73	68.44
580	30.29	73	63.55
655	34.06	73	66.41
507	29.21	74	60.79
613	32.59	73	67.20
617	29.40	74	68.29
619	31.04	74	66.58
533	28.82	74	62.85
595	31.50	74	64.70
637	31.82	73	66.60
607	29.31	73	66.69
535	29.80	74	61.77
579	33.76	73	64.07
566	30.28	74	63.24
555	30.54	74	62.03
454	30.04	73	49.42
698	31.28	74	82.07
654	31.10	73	70.19
690	31.91	73	69.86
596	29.54	73	61.49
564	30.43	73	67.30
660	33.47	73	67.98
627	32.43	73	66.82
558	30.24	73	62.87
582	30.43	73	57.88
625	32.15	74	79.24
585	30.13	74	67.97
583	30.51	73	64.60
580	30.26	73	63.72
603	29.72	73	67.18
528	29.42	73	62.55
604	34.15	74	62.88
557	30.84	74	61.44
513	29.88	73	59.37
504	29.42	73	59.70
539	30.42	73	61.24
560	30.31	73	61.92
566	31.11	73	62.78
604	30.45	73	66.22
543	29.12	73	61.01
648	32.13	73	69.26
683	33.48	73	69.23
561	30.21	74	63.53
656	33.18	73	67.45
607	29.93	74	66.99
661	33.11	74	67.64
551	28.96	73	63.51
565	30.55	73	62.88
594	30.38	74	64.00
511	29.52	73	57.33
563	30.24	73	67.37
652	32.71	73	67.60
599	30.81	74	66.51
532	29.55	73	61.69
522	30.35	73	61.27
593	32.22	73	66.29
658	32.31	75	70.91
667	31.78	74	73.63
632	30.06	74	68.16
575	30.47	74	64.75
639	31.48	74	67.49
631	32.36	73	67.53
534	29.76	74	60.63
493	28.42	74	58.95
400	21.98	74	57.74
321	14.38	74	55.95
304	14.82	73	52.96
