Avg_MHz	Busy%	PkgTmp	PkgWatt
576	30.48	72	62.84
586	29.95	72	64.27
569	30.73	71	62.32
577	30.96	71	61.92
542	29.37	72	61.68
526	29.92	72	59.85
615	33.51	73	64.51
590	30.81	72	65.58
575	31.07	72	64.46
608	30.01	72	67.95
603	30.39	72	65.68
587	30.52	71	63.24
604	31.36	72	63.24
596	30.85	71	64.38
574	30.95	72	62.49
593	31.21	73	64.30
526	31.28	72	62.06
485	29.78	73	50.82
511	29.95	73	47.77
521	30.74	72	47.58
601	31.92	72	58.40
606	30.93	72	64.41
578	30.31	72	64.98
607	30.93	72	64.38
607	29.39	72	64.89
605	31.02	72	65.24
595	31.81	72	63.63
568	30.79	72	62.59
639	30.89	72	66.77
559	29.18	72	63.34
521	29.44	73	59.43
531	29.96	72	60.11
624	31.86	72	62.41
503	30.21	72	63.24
547	30.79	71	49.90
532	31.00	72	48.35
510	31.06	72	47.81
555	31.52	72	50.22
590	30.68	72	52.65
549	29.92	72	59.76
591	31.66	72	63.68
584	30.88	72	59.15
596	30.78	72	64.64
601	31.32	71	64.00
596	30.53	72	63.92
593	31.17	72	64.17
588	32.52	72	62.94
484	29.75	72	52.69
521	30.34	72	48.17
532	29.99	72	57.14
468	29.52	72	55.67
488	30.08	71	46.76
547	30.93	71	50.02
541	30.30	71	54.30
566	30.79	72	58.70
600	30.92	72	53.32
583	32.27	72	63.48
556	31.13	72	62.19
557	30.58	72	55.29
542	29.62	71	53.77
575	30.41	71	52.40
588	30.60	72	52.34
586	30.71	71	53.41
498	28.68	72	55.93
517	30.33	72	48.15
529	29.56	72	49.61
572	33.06	72	49.70
534	29.84	73	50.28
522	31.02	71	47.75
635	31.84	72	57.69
704	31.38	71	62.44
709	32.16	72	72.48
663	31.03	72	72.81
687	32.44	72	72.26
678	32.42	72	73.37
688	31.16	72	74.41
735	33.10	72	74.72
695	31.08	72	74.52
663	31.59	72	71.68
613	29.98	72	70.94
591	29.47	72	66.79
586	31.01	72	63.44
538	30.46	72	60.04
619	32.29	72	53.54
654	30.61	72	61.49
629	30.41	72	67.74
576	31.14	72	64.40
545	31.00	72	62.91
598	31.23	72	60.09
627	32.25	71	54.30
638	31.50	71	54.93
608	30.37	71	56.43
592	31.66	72	52.63
610	31.39	71	59.62
585	30.64	73	52.13
597	31.33	70	52.65
592	31.92	72	53.94
592	32.49	72	52.26
618	31.18	71	55.22
637	32.25	72	66.55
642	31.97	71	67.45
661	32.03	71	68.20
644	31.23	71	66.64
585	29.68	71	55.80
607	33.48	71	53.36
678	31.99	71	70.77
665	31.86	72	71.37
648	32.27	72	68.32
626	31.07	72	67.59
639	31.64	72	66.12
589	29.79	71	65.04
605	30.96	73	67.39
597	30.84	72	65.95
611	31.69	72	66.50
612	31.05	71	67.81
627	30.34	72	68.48
639	32.21	71	67.74
628	31.56	72	66.93
616	31.28	71	65.97
662	31.38	71	68.33
660	31.86	71	71.98
691	31.54	72	74.39
672	30.35	71	73.64
565	28.73	71	64.81
533	30.25	71	62.73
580	31.70	72	63.06
631	32.56	72	65.37
577	30.99	72	63.72
556	31.49	72	61.32
570	31.00	71	62.11
603	31.26	71	64.14
601	30.13	72	64.83
619	31.43	71	65.51
614	29.90	72	66.86
560	28.37	71	65.45
584	29.86	71	63.92
643	31.84	72	67.24
562	31.26	72	63.36
607	31.79	73	65.10
596	30.78	72	64.93
558	29.77	72	63.48
594	30.72	72	63.69
624	30.35	72	65.89
566	29.26	72	63.56
553	29.90	72	62.72
615	31.23	72	65.30
618	31.40	72	65.71
572	30.88	71	63.40
576	30.04	72	63.71
644	31.91	71	66.67
648	30.29	71	69.83
615	29.14	72	68.64
595	30.30	71	66.50
571	30.30	72	64.54
553	30.71	71	57.96
587	29.75	71	67.18
566	31.10	71	61.79
540	31.54	72	60.22
511	29.50	72	59.91
562	31.06	71	61.77
539	29.48	71	61.37
544	30.15	72	60.61
556	29.98	72	62.25
544	30.69	71	60.71
567	30.83	72	62.26
580	30.88	72	63.43
608	32.35	71	63.82
598	32.63	72	63.14
624	31.29	72	66.61
618	31.03	72	68.45
618	30.68	72	68.30
574	30.37	71	65.37
638	31.69	72	69.75
637	31.34	72	69.71
608	30.08	72	68.37
553	29.53	72	64.49
566	31.32	72	62.51
556	31.63	72	61.30
567	30.99	72	62.34
557	30.04	72	62.02
595	31.77	72	63.65
612	31.80	72	65.84
667	31.72	73	71.30
655	30.58	72	72.44
621	30.93	72	68.39
612	32.14	72	67.13
621	32.93	72	67.11
625	32.74	72	67.81
630	31.42	72	68.37
617	31.67	73	67.17
565	30.51	72	64.48
576	31.64	72	63.05
602	29.70	73	65.43
311	15.29	72	53.39
266	14.83	72	50.48
289	14.96	72	51.61
280	15.53	72	47.13
308	16.05	72	41.33
288	14.66	72	40.56
275	15.03	72	40.22
289	15.04	71	40.65
292	15.25	72	40.62
260	14.94	71	38.96
278	15.94	71	39.43
291	14.84	71	40.78
266	14.99	72	39.72
266	15.32	69	39.10
307	16.70	71	40.56
274	15.10	70	39.72
265	14.97	71	39.03
263	15.00	70	38.62
266	15.03	71	39.25
293	15.23	70	40.63
315	16.04	70	41.90
297	14.69	71	50.70
274	15.21	71	44.41
281	15.77	71	40.71
283	16.27	70	40.84
264	14.87	70	39.15
270	14.96	70	39.41
267	15.07	71	40.05
287	14.91	71	40.18
234	14.62	70	31.70
402	17.90	71	54.98
349	15.78	70	49.87
349	15.63	71	57.69
337	15.39	71	56.40
289	16.26	71	52.06
295	15.13	71	51.49
299	15.07	71	52.27
