Avg_MHz	Busy%	PkgTmp	PkgWatt
492	29.86	71	57.38
521	30.11	70	60.22
504	28.96	70	59.85
515	30.87	70	59.39
536	29.52	71	60.91
554	30.61	71	61.92
575	31.11	71	62.34
566	30.50	71	63.24
545	30.87	70	61.26
540	31.01	71	60.98
470	29.03	71	57.40
508	30.98	71	58.63
574	30.16	71	52.49
587	32.89	70	57.19
553	30.85	70	51.14
543	29.82	71	49.85
501	29.71	71	54.04
502	29.79	71	58.87
549	31.01	71	60.97
548	31.43	71	61.50
536	30.50	72	60.98
511	29.63	71	59.36
502	29.94	71	58.82
518	30.39	71	59.47
582	31.62	72	62.82
552	29.70	71	62.74
559	30.85	71	62.20
522	29.53	71	60.56
558	30.54	71	62.30
609	33.08	71	64.35
603	30.72	71	65.50
604	31.25	71	67.00
565	30.90	72	64.89
556	30.69	71	61.26
550	30.55	71	64.05
544	29.50	72	63.59
527	30.12	71	59.81
566	30.82	72	63.65
533	30.44	72	60.84
613	32.95	71	52.76
569	30.68	71	51.63
490	28.94	70	47.96
493	31.04	71	45.82
635	32.77	71	55.37
630	31.94	71	55.51
586	29.80	71	52.67
489	29.31	71	53.13
501	29.83	72	46.84
529	30.42	70	49.00
502	30.98	71	47.41
495	30.37	72	47.05
587	31.36	71	54.43
595	30.66	70	64.09
514	29.74	72	57.59
497	30.33	71	46.20
539	30.78	71	48.59
501	30.38	71	47.05
494	30.01	71	46.82
553	32.14	71	50.50
598	31.18	72	56.32
533	30.71	70	62.54
545	30.10	71	51.74
575	31.91	71	59.77
624	31.17	71	66.91
555	30.94	71	65.35
566	31.05	72	63.01
533	30.50	72	52.92
533	29.67	71	61.12
574	30.73	71	62.41
584	31.15	71	64.00
492	28.86	71	60.92
505	30.03	72	59.28
561	30.37	72	61.17
512	29.17	73	60.25
554	30.82	71	61.45
533	30.51	72	60.78
566	31.12	72	62.76
622	31.75	72	65.35
608	29.98	73	68.07
503	29.67	72	60.63
523	30.43	72	59.88
561	30.69	71	62.57
576	30.60	72	65.30
496	29.36	72	59.68
503	30.63	72	47.52
481	29.20	71	51.92
466	30.22	72	54.71
490	30.56	72	46.78
486	29.55	71	47.41
540	31.19	71	49.40
570	31.66	72	62.70
521	29.88	71	59.32
564	30.53	71	51.00
546	30.44	71	51.27
574	31.48	71	59.98
547	29.79	72	64.54
587	30.55	71	65.58
547	30.56	72	62.62
579	31.17	72	65.41
665	32.05	72	69.26
584	31.36	72	65.19
541	30.31	72	52.76
551	30.00	72	62.75
528	29.90	72	61.12
552	30.96	71	62.08
509	29.26	71	50.97
535	31.64	71	48.64
550	30.93	71	49.84
545	30.54	71	50.40
511	30.15	71	48.68
547	32.09	71	49.84
526	30.55	71	48.63
559	31.21	71	51.49
581	29.90	72	52.31
567	29.93	72	56.17
522	29.47	72	60.99
585	31.37	71	63.90
549	29.74	71	62.91
580	30.63	72	63.63
558	30.45	72	62.56
568	31.30	71	62.44
539	30.21	72	61.16
638	31.55	73	66.92
590	30.45	72	66.20
550	30.15	72	64.28
497	30.05	72	58.94
575	31.30	72	63.37
573	30.89	72	65.86
535	29.74	72	61.25
546	30.76	73	61.87
603	32.24	72	66.37
567	30.07	72	64.10
523	29.66	73	60.75
533	31.21	72	61.10
524	30.07	72	60.46
538	31.21	72	60.82
557	30.68	73	61.25
516	29.66	73	61.06
504	30.18	72	53.84
542	30.56	72	54.97
545	31.23	72	62.19
523	29.32	72	61.44
575	30.89	72	62.07
602	31.17	73	64.73
619	31.78	72	66.03
606	32.04	73	64.92
621	31.47	72	66.43
566	30.58	72	65.50
542	30.52	72	61.09
514	29.32	71	59.57
562	31.24	72	61.26
507	29.36	73	59.30
510	29.82	72	59.17
515	29.73	73	60.01
518	30.03	73	59.44
516	30.44	72	59.25
544	30.57	73	59.54
552	31.26	73	62.73
535	30.11	73	61.04
581	31.10	73	62.29
554	30.63	72	62.48
543	30.17	73	63.94
602	30.56	73	66.28
611	31.07	72	67.89
576	30.38	73	66.09
566	31.00	74	63.38
568	29.97	73	62.30
536	30.23	73	61.56
592	30.33	72	63.52
562	30.88	73	63.34
598	31.94	73	65.16
558	29.69	73	62.92
581	29.21	73	57.66
497	28.95	72	49.85
498	29.89	72	47.01
577	31.49	72	56.42
577	30.45	73	62.29
539	29.85	73	61.77
538	29.76	73	60.97
559	30.29	73	63.26
593	31.89	73	64.14
619	31.28	74	66.35
550	29.69	74	62.97
534	30.27	73	60.89
542	29.53	73	62.15
560	30.92	73	62.40
579	31.31	72	63.33
560	30.55	73	63.29
612	31.68	73	65.88
574	30.57	74	64.78
624	32.30	74	68.09
617	30.23	73	68.70
298	14.57	73	55.54
306	15.00	73	53.05
303	14.88	73	53.06
268	15.38	73	51.25
280	15.62	73	51.26
276	15.60	73	40.23
263	14.96	73	39.03
260	14.95	73	38.98
285	16.62	72	39.17
298	15.00	72	41.37
300	14.92	73	44.83
304	14.92	72	52.48
298	14.78	73	52.35
312	15.58	72	52.82
306	15.11	72	52.63
307	15.16	72	52.66
296	14.73	72	52.03
303	14.99	72	52.31
322	16.37	71	53.01
304	14.89	72	52.52
257	13.70	72	48.99
300	15.79	72	53.63
308	14.99	72	52.89
317	15.68	72	53.06
270	14.39	73	51.44
308	16.01	72	52.38
303	14.86	72	52.68
303	14.87	72	52.78
308	16.64	72	52.42
267	15.05	72	42.78
294	14.85	72	47.21
307	14.82	72	53.26
271	14.83	72	50.24
280	15.61	71	40.58
285	14.90	72	40.32
282	15.52	72	39.63
289	15.29	72	40.10
268	14.83	71	39.78
283	16.22	71	40.20
263	14.89	72	39.10
