Avg_MHz	Busy%	PkgTmp	PkgWatt
665	30.07	72	72.33
540	29.55	72	63.86
646	33.09	73	68.05
696	31.80	72	72.36
631	30.02	72	68.55
581	31.90	73	62.63
455	29.45	73	57.28
542	32.51	72	61.58
493	29.52	72	53.88
504	30.17	72	47.34
470	29.27	72	45.91
500	31.06	72	67.61
503	29.42	73	61.09
532	29.85	72	60.77
579	31.46	73	62.41
572	32.31	73	63.16
501	29.71	73	58.83
545	30.55	74	60.17
501	29.70	73	58.72
500	29.16	74	56.00
513	30.59	72	47.83
531	29.69	72	49.82
509	30.28	72	48.36
470	28.80	72	47.15
481	30.92	73	46.29
488	30.73	72	45.85
511	30.16	72	48.50
472	29.33	72	56.56
492	30.49	72	52.20
552	30.94	72	49.10
499	29.60	72	49.57
473	29.38	72	45.48
534	31.55	72	49.35
570	31.33	73	53.25
522	30.68	73	60.17
532	32.28	72	52.70
484	29.83	72	46.98
484	30.99	72	45.77
505	30.35	72	44.93
495	29.52	72	49.26
415	28.31	72	52.49
521	31.14	72	57.91
520	30.08	72	57.30
477	29.51	71	46.60
508	31.36	71	51.47
539	31.88	72	61.80
534	29.45	73	63.09
513	29.99	73	51.32
531	30.66	73	48.90
509	30.15	71	48.37
515	29.11	72	48.77
477	29.60	72	46.28
493	30.53	72	45.09
541	30.91	72	50.88
560	31.77	72	50.67
518	30.81	72	54.78
507	29.87	73	58.11
508	30.74	72	58.32
458	29.47	72	56.64
472	29.79	71	46.63
488	30.41	72	48.62
565	31.31	72	61.71
533	30.15	74	60.23
559	31.13	72	63.00
523	30.26	75	62.22
489	32.44	73	60.63
491	29.77	72	58.83
519	31.42	72	47.89
558	30.66	72	60.19
541	29.82	72	60.06
612	31.33	73	69.87
666	32.21	73	70.71
670	30.77	72	72.17
604	30.09	73	68.02
584	31.16	72	64.95
603	31.81	72	64.45
532	29.96	73	61.90
584	31.20	73	63.31
577	30.58	73	64.38
539	28.99	73	62.52
633	31.23	73	66.72
586	29.79	72	66.86
517	28.69	72	60.63
591	31.97	73	63.23
538	29.85	72	61.50
613	35.07	73	64.80
552	29.58	73	63.15
532	30.10	73	61.58
572	30.58	73	63.56
560	29.72	73	62.31
443	28.29	73	57.44
552	31.86	74	61.29
628	32.08	73	65.40
611	32.20	73	67.62
634	31.38	73	68.83
653	32.60	73	68.02
563	29.64	73	63.23
626	31.76	73	64.36
625	30.62	73	64.54
637	30.36	73	76.54
711	32.37	73	75.94
665	29.92	73	73.75
623	30.18	74	66.69
635	31.23	74	66.75
659	33.10	73	67.55
647	31.61	73	70.26
670	32.79	74	70.58
661	31.17	74	71.95
629	30.56	73	67.81
531	29.31	73	60.84
532	31.41	73	61.90
620	31.28	73	68.13
611	31.05	72	67.88
599	31.32	73	64.11
602	32.39	74	68.09
490	31.35	73	56.14
590	31.37	72	52.67
598	33.16	72	57.67
623	31.54	73	69.03
655	31.56	72	72.83
638	31.01	73	72.03
647	30.35	73	71.89
624	32.00	74	67.84
667	31.17	74	72.86
704	32.54	74	73.85
589	30.31	74	68.31
623	32.33	73	68.52
589	30.27	73	67.37
591	32.09	73	65.29
628	31.00	74	67.53
594	29.47	74	65.88
578	30.27	73	64.15
621	31.38	73	67.67
599	30.57	73	67.09
658	32.52	73	69.60
575	29.80	73	65.57
352	16.85	73	58.16
313	14.19	73	55.59
304	14.87	73	53.33
302	14.84	73	52.81
304	14.89	73	53.34
303	14.85	73	53.29
302	14.86	73	52.90
305	14.89	73	53.36
311	15.56	73	53.13
326	16.71	73	53.86
311	15.53	73	53.33
301	14.81	73	52.72
304	14.88	73	53.23
303	14.84	72	53.21
302	14.83	73	52.83
303	14.87	73	53.05
303	14.86	73	53.05
301	15.16	72	52.63
306	14.97	73	53.55
335	17.52	73	53.79
314	16.16	73	53.10
325	18.08	73	55.16
347	15.71	74	58.20
349	15.43	74	58.89
350	15.47	73	58.97
308	14.09	73	54.90
303	14.88	73	53.02
304	14.88	73	53.18
302	14.84	72	52.98
286	19.18	73	42.25
449	17.57	73	77.15
347	15.42	73	58.30
329	15.53	74	53.88
354	16.21	73	62.09
315	15.45	73	57.07
330	15.47	73	56.95
318	14.48	73	52.71
308	14.79	73	51.83
327	16.75	73	53.24
275	14.62	72	50.91
273	16.29	74	52.54
337	17.13	73	55.58
345	15.63	73	57.30
349	15.67	74	57.34
271	13.29	73	54.22
308	17.12	74	53.79
263	13.25	73	53.48
307	17.18	72	53.50
265	14.07	73	52.82
312	17.32	74	52.30
274	15.40	73	51.70
214	13.55	73	48.98
242	14.59	73	44.52
292	15.61	72	40.47
306	14.94	74	52.95
306	14.90	73	53.44
276	14.65	73	52.12
279	14.79	74	52.14
293	14.66	73	48.65
309	17.74	73	41.81
295	15.38	73	41.06
264	14.01	73	40.56
308	15.62	73	52.63
309	15.00	73	53.33
268	13.86	73	51.73
306	15.57	74	52.63
265	13.92	74	51.36
307	15.70	73	52.72
267	14.16	73	51.52
257	16.42	73	47.76
299	16.03	72	53.87
305	15.13	73	52.48
268	14.97	73	51.38
329	16.59	73	55.48
341	15.63	72	56.97
341	15.60	73	56.90
