Avg_MHz	Busy%	PkgTmp	PkgWatt
503	29.33	72	59.43
517	30.14	72	48.13
471	29.01	72	54.80
470	29.60	72	47.49
539	30.66	72	49.40
517	31.08	71	49.56
567	31.33	73	63.72
576	31.20	72	63.61
549	30.94	72	61.88
446	29.67	72	55.02
544	33.06	72	56.51
616	32.49	71	55.29
598	31.09	72	59.75
501	29.30	71	49.10
555	31.79	71	49.33
502	30.06	72	48.13
495	30.37	73	51.96
533	31.79	73	66.28
612	32.45	72	64.91
535	29.98	72	62.27
528	29.56	72	61.45
515	30.44	72	59.57
496	28.64	72	57.93
490	29.15	73	61.79
494	31.35	72	54.99
552	30.76	73	65.46
489	29.73	72	59.46
515	30.74	73	59.09
441	28.33	73	57.00
507	32.35	73	58.42
518	29.24	73	61.18
487	29.30	73	58.01
431	28.83	73	56.15
534	31.00	73	60.94
528	30.37	73	60.51
520	30.21	73	59.73
494	30.79	73	57.72
519	30.17	73	59.76
492	29.78	73	58.80
497	29.92	73	58.97
520	30.21	73	60.14
514	29.40	72	60.46
460	28.37	73	58.11
475	29.56	72	56.88
545	32.35	73	63.47
610	31.32	73	65.04
525	30.08	74	60.96
520	30.26	74	59.03
546	30.45	72	62.23
542	30.34	73	61.52
525	29.86	74	60.60
477	29.39	73	58.16
483	30.07	73	48.64
509	29.62	74	51.54
495	30.39	72	45.09
492	29.18	73	46.47
524	30.98	73	52.22
547	30.29	73	61.76
526	29.71	73	61.03
524	29.52	72	61.06
479	29.12	73	53.71
528	29.44	73	49.43
427	27.84	72	44.85
445	29.67	73	40.74
648	34.06	73	53.73
559	29.59	73	60.12
482	31.05	73	55.59
439	29.85	71	41.30
559	33.02	73	51.44
564	29.89	72	53.72
458	29.20	73	51.92
479	31.18	72	53.98
561	31.67	72	52.48
577	31.61	73	61.69
448	28.39	72	54.28
511	32.55	72	50.01
588	31.39	73	63.75
550	30.85	73	61.99
544	30.76	72	61.69
529	30.42	73	57.53
453	28.83	72	40.68
497	30.46	72	53.86
597	32.01	73	62.64
636	32.14	73	68.41
590	31.22	72	66.44
641	31.96	73	66.91
534	30.09	72	63.82
529	29.82	73	60.25
414	28.28	73	56.18
485	29.98	73	57.68
476	29.64	73	58.97
461	29.63	72	56.77
470	30.65	73	55.30
507	31.13	72	47.27
583	30.84	73	62.85
527	30.44	73	61.11
499	30.12	72	59.33
541	30.85	73	60.56
565	30.57	73	64.00
525	29.25	73	63.42
486	29.11	73	61.02
599	31.55	72	65.77
611	31.63	73	66.46
554	31.34	73	64.17
664	33.87	72	70.35
578	30.40	73	65.92
564	30.76	73	61.45
495	29.34	73	59.86
498	31.23	72	52.77
579	31.40	72	70.56
555	31.02	72	64.08
532	31.48	73	58.28
470	29.09	72	59.04
549	32.27	72	49.97
530	30.81	72	54.08
500	29.96	72	51.88
523	29.97	72	47.96
574	31.09	72	59.58
552	30.08	73	63.25
505	28.95	72	61.93
543	30.89	72	62.76
557	31.81	72	62.16
518	29.36	72	64.55
584	31.52	73	64.24
589	30.50	71	64.41
640	32.55	73	67.98
591	29.86	72	67.92
493	29.75	72	50.04
549	30.62	73	73.18
584	30.67	72	66.55
520	30.16	73	60.81
622	32.97	74	58.72
593	30.36	73	75.42
536	30.89	73	64.54
526	30.97	73	61.70
515	30.65	72	59.91
494	29.54	72	55.52
492	29.59	73	48.33
494	30.25	72	47.76
566	31.34	72	51.42
558	30.54	72	53.33
521	30.50	74	63.77
500	29.97	73	56.89
489	30.37	73	46.34
499	31.12	72	47.01
487	31.35	72	45.15
556	31.03	72	54.87
588	32.64	72	52.49
616	31.26	72	55.65
488	29.14	72	51.63
502	31.39	73	50.95
507	31.56	72	49.80
580	30.77	72	53.40
591	32.81	72	66.43
590	30.67	71	55.57
574	29.89	72	65.03
494	29.75	72	60.49
458	30.14	72	52.96
507	30.91	71	47.08
520	30.32	72	48.71
496	31.47	71	46.70
553	31.79	72	51.83
476	29.34	71	47.56
528	32.13	72	48.14
536	32.17	71	50.73
575	31.43	72	64.98
600	31.20	71	67.34
635	31.33	72	69.40
609	31.19	72	68.34
592	30.56	72	66.26
550	31.56	72	62.96
535	30.27	72	59.25
435	28.55	71	58.29
542	34.11	72	48.87
555	31.12	71	51.36
434	28.33	70	40.73
449	29.88	71	45.54
454	29.47	72	44.26
500	31.20	71	46.91
516	30.70	71	48.93
513	32.36	71	47.67
531	30.46	71	49.24
502	30.26	72	47.60
544	32.40	71	53.35
544	31.16	72	49.73
294	15.94	71	41.72
