Avg_MHz	Busy%	PkgTmp	PkgWatt
338	20.04	71	52.01
335	20.09	70	41.88
283	18.14	69	40.66
359	19.93	70	53.57
362	19.61	72	53.61
333	19.45	71	52.51
331	19.83	70	51.88
367	20.57	71	53.80
361	19.45	70	54.32
318	18.20	71	52.43
357	20.34	70	53.17
366	20.38	70	53.57
342	19.75	70	52.89
316	18.30	70	51.83
354	20.00	70	53.56
362	19.72	71	53.80
337	19.43	71	52.39
347	20.82	71	53.84
317	18.38	70	52.37
361	19.88	71	53.41
360	19.51	71	53.52
289	17.95	71	50.43
319	20.52	70	51.00
355	19.80	71	53.54
360	19.55	71	53.56
323	19.27	71	51.87
319	19.61	71	52.36
376	22.78	71	55.64
386	19.94	71	57.17
356	19.45	71	54.53
347	18.80	71	53.33
324	18.33	71	50.05
324	21.87	71	54.76
346	19.01	71	56.51
349	19.36	70	52.13
363	20.51	70	51.93
321	19.15	70	50.84
329	20.58	70	51.47
332	18.95	70	57.05
353	19.25	71	53.45
297	17.85	70	55.60
345	20.86	70	63.42
353	19.18	72	53.43
347	18.96	70	53.51
311	18.52	71	51.38
310	18.87	71	51.46
374	21.20	70	53.63
335	19.13	71	52.74
283	18.56	70	53.84
345	19.38	70	51.36
320	18.22	70	56.37
349	20.54	70	52.44
318	18.89	71	51.75
326	19.82	70	51.73
339	19.29	70	54.65
326	19.46	70	52.98
300	18.85	70	50.52
311	19.04	70	50.53
361	19.95	71	53.02
342	18.77	70	52.76
277	17.18	71	59.60
345	20.89	71	51.96
359	19.45	71	52.96
347	19.20	71	52.91
317	18.91	71	50.61
333	19.84	71	52.28
375	20.85	71	53.50
339	18.58	71	53.06
330	19.08	71	51.92
355	19.27	72	53.15
320	18.24	71	51.23
350	20.84	70	52.83
370	20.94	71	55.30
395	20.04	70	57.86
382	19.24	71	56.00
316	17.91	71	53.36
288	18.78	72	59.66
338	19.84	71	52.14
357	19.27	71	53.11
321	18.18	71	52.22
351	19.99	72	52.62
326	19.37	71	51.63
360	20.15	72	53.10
356	19.19	72	53.05
355	19.02	71	53.31
369	20.05	71	53.70
376	20.69	71	54.46
319	18.26	72	52.02
355	19.79	70	52.93
357	19.15	70	53.29
315	18.35	71	51.01
339	20.33	71	52.54
358	20.43	71	52.68
365	19.97	72	53.23
324	18.15	71	51.89
315	19.26	71	51.31
300	19.90	72	50.31
378	22.13	71	55.25
401	20.24	71	57.80
362	19.10	71	55.25
304	19.21	72	51.31
414	22.59	71	57.69
400	20.24	71	57.77
396	19.77	72	57.89
396	19.87	71	57.62
396	19.76	72	57.65
404	20.97	71	57.15
361	18.66	72	55.00
354	19.58	71	53.09
341	18.70	71	51.50
305	19.41	71	52.38
378	20.98	71	54.68
359	19.26	71	53.29
359	19.26	71	53.65
325	18.88	72	52.60
326	20.44	70	46.73
320	20.87	71	58.10
353	20.00	71	51.81
356	19.79	71	55.35
275	17.81	71	56.57
308	18.81	71	54.93
377	21.45	71	53.51
321	18.79	72	52.04
285	18.09	70	50.11
364	22.30	71	54.34
395	20.15	71	57.88
369	21.49	71	55.80
381	20.74	71	55.24
392	20.14	72	56.17
360	18.64	72	54.10
295	17.62	71	51.07
351	21.10	71	52.36
354	19.21	72	53.28
313	18.29	71	51.90
310	19.41	72	51.57
352	19.69	71	52.90
377	20.77	71	53.73
362	19.59	70	53.47
325	18.77	70	54.96
353	21.08	71	63.30
397	20.46	71	57.38
412	20.92	71	58.31
320	17.77	71	54.58
373	21.83	71	65.88
401	20.24	72	57.99
389	19.96	71	56.92
357	19.35	71	53.26
358	19.37	71	53.35
297	18.42	71	51.21
324	19.30	71	52.95
371	20.95	72	53.86
359	19.41	71	53.57
308	17.68	71	51.58
285	17.93	72	50.62
287	18.83	71	50.20
384	23.07	71	55.18
396	19.76	72	57.94
365	18.37	71	55.98
297	17.66	71	50.59
359	19.88	72	53.57
375	20.71	73	53.73
332	19.30	71	52.32
306	18.22	71	51.18
345	19.62	72	52.25
365	19.79	71	53.91
339	20.02	72	52.87
358	19.83	72	53.18
334	19.03	71	55.59
337	20.47	72	61.66
376	20.90	71	56.20
417	21.56	71	58.57
392	19.54	72	58.04
336	18.01	71	53.39
274	17.64	72	50.24
299	18.55	72	50.14
375	21.27	71	53.15
340	18.75	72	53.26
260	17.09	71	50.79
348	19.99	71	64.19
359	19.43	72	53.32
349	20.52	72	53.12
394	21.41	72	57.20
398	20.13	71	58.24
375	19.48	72	55.35
311	18.86	71	51.72
378	22.51	72	55.16
388	20.11	72	57.00
361	18.79	71	54.49
303	18.35	72	51.58
373	21.80	72	55.51
427	21.99	72	58.50
380	19.13	72	56.36
244	14.62	72	50.14
208	14.70	71	38.76
