Avg_MHz	Busy%	PkgTmp	PkgWatt
276	19.97	74	49.82
317	21.76	73	39.08
389	23.11	73	43.07
378	22.27	72	47.70
339	22.42	73	52.98
341	24.26	73	43.83
391	23.39	72	43.11
384	22.84	74	44.23
365	22.32	73	53.29
338	23.14	74	51.59
358	23.40	74	49.69
377	22.49	73	43.21
381	23.26	73	43.38
408	22.63	73	55.68
389	22.05	73	55.27
394	24.40	73	54.61
372	22.57	74	53.86
404	23.10	73	55.50
394	22.41	73	55.25
342	22.07	74	52.10
321	21.35	72	50.14
387	23.77	72	56.48
398	22.65	73	55.30
377	22.83	73	54.75
391	23.50	73	55.21
432	25.22	73	55.64
412	23.15	73	56.06
358	21.76	73	54.16
384	24.28	74	54.57
414	24.63	73	54.96
408	23.11	73	55.29
339	21.00	73	52.90
383	23.51	73	54.55
405	23.23	73	55.15
365	22.11	74	53.45
387	24.52	73	54.79
382	24.12	74	53.95
387	22.90	74	54.21
365	22.25	73	52.78
339	22.47	73	52.41
323	21.35	73	51.50
384	23.17	73	54.34
405	23.02	73	55.14
381	22.80	73	54.16
350	22.07	73	52.28
429	25.62	74	56.57
415	23.14	75	55.94
396	23.24	74	56.36
434	23.74	74	59.62
454	24.50	75	60.76
372	21.90	74	55.19
335	22.83	74	46.71
423	25.12	73	46.43
394	22.30	73	45.43
361	23.17	74	72.47
424	26.47	74	57.31
447	24.02	75	60.12
391	22.44	74	57.18
355	22.07	74	49.54
309	21.08	73	39.69
383	23.59	74	53.98
400	22.79	74	55.76
362	22.14	74	54.18
334	21.92	74	52.36
435	26.58	74	57.97
451	23.74	74	60.24
400	21.42	74	57.18
375	22.23	74	54.33
406	25.06	74	55.07
378	22.64	75	55.04
329	21.35	74	50.80
359	23.48	74	41.26
376	23.23	74	42.72
356	22.02	73	42.29
371	23.70	73	50.52
371	23.51	73	51.61
357	22.50	73	43.31
333	21.95	73	37.55
358	23.90	73	43.69
362	22.38	73	42.09
391	22.69	73	43.75
394	22.77	73	43.91
328	21.86	73	40.96
337	21.50	73	52.19
421	25.00	73	55.80
414	22.69	73	55.97
329	20.97	73	52.54
356	21.74	73	53.84
410	24.33	73	55.90
376	22.02	74	54.86
321	22.52	73	52.19
413	23.76	74	46.47
412	22.86	73	52.86
374	21.50	74	54.39
386	26.41	73	49.28
433	25.30	73	46.96
402	22.61	73	51.99
279	20.51	73	47.73
325	22.71	72	40.05
367	23.45	73	41.79
389	22.21	74	54.64
351	20.94	73	54.10
328	21.04	74	52.08
375	22.93	74	54.02
423	24.99	73	56.04
370	23.04	73	54.15
417	24.49	73	56.59
408	22.81	74	56.01
432	24.34	74	56.49
360	21.91	73	54.20
412	26.18	73	55.07
479	24.57	73	61.80
369	20.99	73	53.32
346	21.71	73	55.98
428	26.53	74	55.53
406	23.13	74	55.43
347	21.30	74	50.15
328	21.56	73	55.57
367	24.79	74	53.79
449	25.46	73	58.59
471	23.00	73	60.94
396	21.46	73	55.90
349	23.23	74	53.24
444	25.18	73	59.22
473	25.10	74	60.95
402	22.09	74	56.94
361	22.08	74	53.66
403	23.62	73	55.33
417	24.47	74	56.58
381	23.11	74	54.53
399	22.79	74	55.37
387	22.51	73	54.73
360	22.70	73	53.52
362	22.58	74	53.41
424	25.23	74	55.27
414	23.27	74	56.24
351	21.79	73	53.13
332	22.00	73	52.34
394	26.33	73	54.60
460	24.34	73	59.41
450	22.37	75	59.59
387	21.48	73	55.39
386	22.99	73	54.76
404	22.89	74	55.44
403	23.95	75	54.93
386	23.04	74	55.17
357	22.49	73	51.74
416	23.44	73	57.20
400	23.46	74	55.23
388	23.18	73	54.45
399	22.66	74	55.23
374	21.96	74	54.20
353	22.54	73	53.09
387	23.61	73	54.29
428	24.53	73	56.29
380	22.23	74	52.39
330	21.29	74	55.24
326	21.32	73	51.38
403	25.15	73	55.55
407	23.26	74	56.05
359	22.14	73	52.87
346	21.57	74	53.58
387	23.43	73	54.64
402	23.01	74	55.30
410	25.66	74	55.53
422	23.96	74	58.07
407	23.17	74	55.74
408	22.88	74	55.03
358	22.60	74	53.79
393	23.88	73	54.70
401	22.80	74	55.34
350	22.04	73	53.80
366	22.96	74	54.19
402	23.38	74	55.47
431	25.28	74	56.27
371	21.80	74	54.33
340	21.71	73	53.31
336	22.30	73	51.90
413	24.91	74	55.17
403	23.02	74	55.44
366	22.15	73	54.19
349	21.77	73	52.98
398	23.20	74	55.46
401	22.84	73	55.68
390	24.09	74	54.60
368	22.01	73	54.18
392	23.31	74	55.13
400	22.66	73	56.07
374	23.53	75	54.17
401	23.38	74	55.25
396	22.58	74	55.19
362	22.40	73	53.13
345	21.89	73	52.94
291	16.32	74	51.99
303	16.41	74	51.90
269	14.48	74	41.87
