Avg_MHz	Busy%	PkgTmp	PkgWatt
355	19.40	70	53.19
334	18.85	71	52.17
354	19.79	71	53.22
359	19.67	71	53.33
303	18.21	71	51.34
311	18.05	71	40.41
302	19.61	70	37.51
340	18.89	71	41.58
342	18.75	70	41.68
309	17.83	71	51.57
303	19.71	71	49.73
344	17.64	70	43.40
356	19.50	72	46.77
321	18.04	72	52.23
264	18.81	71	49.83
368	19.68	70	45.66
359	18.94	71	49.13
318	17.71	71	52.59
303	19.20	71	51.65
374	19.28	71	56.77
381	18.44	71	57.74
353	17.49	71	55.62
333	17.43	72	52.88
342	18.06	71	53.01
345	17.98	71	53.00
321	16.97	71	52.13
332	18.61	71	52.59
350	18.73	71	53.27
313	18.18	71	51.67
278	16.69	71	50.56
295	18.08	71	48.33
288	16.58	70	39.35
336	18.23	71	48.42
306	16.58	70	50.78
335	18.42	72	53.71
321	17.23	71	51.56
340	18.90	71	52.53
310	17.25	70	52.00
338	18.79	71	52.45
337	17.52	71	52.77
332	17.47	72	52.25
275	16.79	71	46.09
303	17.78	71	40.52
304	17.82	71	40.06
340	18.28	70	42.06
290	17.68	71	38.44
309	18.71	70	39.73
340	19.31	71	41.08
340	18.41	71	41.20
255	15.32	71	48.67
309	17.68	71	51.47
285	16.59	71	50.85
337	17.87	71	52.86
288	16.35	72	51.35
346	18.97	72	53.15
304	16.47	71	51.72
339	18.23	71	53.08
329	20.12	71	52.89
378	20.16	71	56.48
380	18.15	71	58.18
373	17.88	71	56.56
366	17.97	71	58.07
379	18.27	72	57.88
378	18.11	72	58.12
390	18.95	71	58.37
330	16.40	71	53.92
339	17.67	72	53.17
360	19.46	72	53.78
344	18.11	72	53.16
284	16.17	72	51.36
317	17.18	72	52.02
304	17.03	71	51.66
297	17.61	71	51.59
284	17.51	72	51.15
362	19.56	72	50.73
337	16.58	71	54.85
318	17.09	72	52.33
244	18.41	72	46.74
353	20.74	71	41.70
369	18.25	72	47.94
338	16.80	71	56.17
356	19.28	72	55.55
376	17.90	72	57.49
372	17.75	72	57.70
374	18.37	73	57.42
342	17.54	72	54.10
374	19.02	72	57.61
391	19.50	73	57.88
375	18.53	71	57.30
246	15.15	72	49.70
276	16.32	72	46.47
353	20.98	72	58.79
358	17.60	72	56.23
333	16.91	72	54.06
339	17.87	72	53.42
299	16.62	71	51.24
312	16.85	72	52.25
355	21.47	73	54.11
384	19.07	72	57.81
373	17.87	72	57.71
354	17.50	73	56.41
359	18.66	73	56.48
369	18.02	73	57.48
369	17.83	73	57.47
364	17.59	72	56.69
328	16.69	72	53.43
335	17.17	73	53.52
350	18.49	72	53.43
326	17.66	73	53.06
311	17.14	72	52.15
292	15.99	73	51.16
327	17.67	73	52.40
301	16.16	73	51.76
310	17.13	73	52.38
330	17.48	72	52.86
287	16.76	73	51.01
256	16.13	72	46.54
329	19.23	73	42.84
344	18.55	72	43.97
331	17.15	72	52.93
308	16.34	73	52.25
327	17.00	73	52.90
328	16.87	73	52.94
328	16.89	73	53.00
312	17.21	73	51.32
319	17.36	73	52.87
331	17.13	74	52.84
350	18.56	73	53.76
301	17.54	73	51.66
320	17.56	73	52.41
272	16.59	72	50.83
358	19.00	73	55.96
341	16.71	73	55.12
331	17.10	73	53.50
305	16.63	73	52.14
320	18.81	74	52.86
337	16.76	73	54.86
350	18.62	73	53.91
346	18.29	73	53.52
334	16.94	73	53.33
317	16.42	73	52.84
335	17.01	74	53.49
330	16.93	74	53.37
330	17.00	73	53.18
298	16.57	73	51.28
360	20.31	73	55.33
370	17.66	74	57.59
391	19.11	73	58.20
352	17.42	73	55.48
325	16.78	73	52.84
290	16.37	73	50.99
330	17.21	73	52.97
279	15.98	73	51.27
328	17.62	73	53.18
291	15.92	73	52.09
342	19.91	73	54.51
331	16.34	74	54.93
349	18.58	74	53.98
341	17.99	74	53.68
310	16.58	73	49.64
328	17.51	73	56.70
328	17.03	73	53.28
328	16.91	74	53.39
321	16.73	74	53.07
297	16.22	73	51.50
342	18.49	73	53.30
329	16.91	73	53.12
343	18.19	74	53.51
323	19.36	74	53.48
347	17.28	73	56.13
325	16.49	73	52.95
316	16.41	74	52.73
261	16.51	73	50.69
351	18.83	73	55.73
335	16.27	73	55.06
322	16.95	73	52.72
239	14.64	73	49.42
336	18.73	74	52.60
342	18.00	74	53.78
310	16.36	73	52.44
319	17.30	73	52.58
325	16.72	74	53.05
325	16.68	73	53.05
316	16.56	73	52.79
252	14.98	73	49.98
325	18.16	74	52.35
328	16.83	73	53.34
318	16.80	74	52.87
322	18.91	74	52.31
294	15.76	74	51.97
317	17.35	73	52.25
313	16.56	73	52.80
318	18.33	74	53.50
361	17.47	74	57.55
301	15.18	74	52.96
245	14.41	74	48.68
262	16.10	74	50.99
