Avg_MHz	Busy%	PkgTmp	PkgWatt
496	29.82	72	58.79
505	30.15	71	59.13
511	31.52	71	59.21
581	32.24	70	60.92
580	31.49	71	53.27
598	31.22	71	54.84
613	32.41	71	63.80
628	29.55	71	70.53
625	31.67	71	69.37
606	30.57	72	69.55
531	28.29	72	64.70
504	29.44	72	60.38
576	31.86	71	62.22
538	30.23	72	61.58
538	31.02	72	60.57
569	31.08	72	59.63
521	29.40	72	49.84
517	30.28	71	49.07
599	32.63	71	65.37
567	30.83	72	64.62
568	30.60	71	64.72
558	30.49	71	64.52
497	30.45	71	58.18
501	30.58	71	48.07
469	29.69	71	45.81
491	29.82	71	47.56
504	29.55	72	48.35
569	31.50	71	51.17
604	31.71	71	61.42
561	30.45	72	61.73
551	29.56	71	53.97
515	30.01	72	48.68
549	31.48	71	49.22
543	31.52	71	48.98
537	30.70	72	49.25
617	31.60	72	53.91
621	30.11	72	58.15
615	30.78	71	64.21
625	32.87	71	65.19
647	32.43	72	67.54
650	31.54	72	67.65
637	30.51	72	67.47
555	28.93	72	63.64
592	32.32	72	63.29
608	29.76	72	55.90
633	31.10	72	64.62
658	31.31	73	68.23
605	30.01	73	64.71
640	31.40	72	70.64
574	30.33	72	62.16
593	30.35	72	53.68
551	29.55	72	55.48
582	30.48	73	64.39
541	30.33	72	60.88
549	30.81	71	49.83
591	30.66	71	53.19
639	31.09	72	56.09
525	30.18	71	49.65
536	31.12	71	48.71
613	31.74	71	53.68
660	31.11	72	68.11
670	31.04	72	72.96
628	30.95	72	68.06
612	32.57	72	64.59
564	30.20	72	61.45
557	31.24	73	61.24
631	31.91	72	65.42
631	30.99	72	67.55
631	32.00	72	68.12
532	29.80	72	63.52
514	28.97	72	61.61
569	31.26	72	62.08
581	31.11	72	63.68
553	32.27	72	61.31
570	31.39	72	61.74
538	29.90	72	61.37
561	30.40	72	61.89
598	31.24	73	66.38
564	31.31	73	63.58
575	30.48	73	62.38
545	30.32	73	60.83
538	30.33	72	60.36
521	29.52	73	59.46
583	31.83	72	61.66
574	31.77	73	61.95
559	31.95	72	63.94
603	30.63	72	66.26
587	30.79	72	54.74
591	30.32	72	64.52
608	30.44	73	66.92
611	30.39	73	65.37
606	30.36	73	66.01
656	30.85	73	69.41
647	32.41	73	69.00
583	31.49	73	65.13
666	31.19	74	70.49
592	29.93	73	67.15
610	31.88	73	67.27
611	31.65	73	68.53
634	31.35	73	67.71
608	30.87	74	66.71
616	32.08	73	68.51
623	31.68	73	69.98
614	31.57	73	66.84
564	30.14	73	56.56
574	31.20	74	64.76
607	30.44	73	67.31
545	30.41	73	64.58
552	31.21	73	62.20
554	30.21	73	62.29
541	29.69	73	60.84
589	30.81	73	63.32
599	30.61	73	63.38
583	31.21	73	63.69
579	31.08	74	63.08
580	30.11	73	62.94
597	30.59	73	63.58
566	30.18	73	63.59
621	32.72	73	65.58
655	30.77	73	68.45
617	31.01	74	68.26
633	31.29	74	68.70
597	30.18	73	66.18
600	32.27	73	63.44
578	31.70	73	63.77
609	30.63	73	65.54
623	31.36	73	66.82
629	30.61	74	67.43
562	31.19	74	66.38
642	32.63	74	68.64
619	30.49	74	66.86
598	30.00	74	66.80
572	30.19	74	65.22
555	31.39	74	62.48
520	30.06	73	61.25
489	29.52	74	58.85
485	29.46	74	58.60
506	29.82	74	59.93
