Avg_MHz	Busy%	PkgTmp	PkgWatt
542	32.40	70	56.02
551	30.98	69	49.04
584	30.62	70	52.95
595	30.91	70	63.32
559	27.13	69	64.31
524	27.91	69	60.38
542	28.04	70	60.75
538	28.72	70	59.74
500	29.54	70	58.19
541	31.63	70	59.37
542	32.15	70	49.82
487	29.84	69	45.22
496	29.87	69	48.17
566	30.76	69	49.21
549	29.97	70	48.98
499	29.36	70	46.15
509	30.27	70	46.68
508	30.42	70	46.17
524	30.53	70	47.30
577	31.18	70	50.99
565	32.75	69	55.74
539	31.11	70	54.05
553	29.81	70	54.20
532	29.06	71	49.28
548	29.71	71	52.23
535	30.72	71	59.68
492	30.38	71	57.41
490	29.69	70	55.33
512	30.65	70	48.27
515	30.17	70	57.66
567	32.66	70	60.51
497	29.70	72	56.59
549	30.92	71	61.41
510	29.64	70	58.67
514	29.77	70	58.22
527	30.59	71	59.84
523	30.68	71	59.35
515	29.86	72	58.82
584	32.35	71	61.62
589	30.63	72	63.52
557	32.24	72	60.95
543	30.85	71	60.34
568	30.33	72	61.99
534	29.73	71	59.84
567	30.64	72	62.27
583	30.41	72	63.05
551	30.04	72	61.54
516	28.38	72	60.60
562	31.54	72	61.04
593	30.40	71	64.07
568	32.71	71	61.03
553	31.06	72	60.79
569	30.31	71	61.98
535	29.21	72	61.17
545	30.25	72	60.66
559	29.89	72	61.59
561	30.55	73	61.66
551	30.27	72	60.87
517	30.28	72	59.51
500	29.41	73	58.09
590	32.81	73	62.48
563	31.31	72	62.41
524	29.62	72	59.52
494	29.31	72	61.29
514	29.75	73	58.07
505	30.09	72	57.61
503	29.54	72	57.59
499	29.55	72	59.02
515	30.64	72	57.91
490	29.56	72	57.47
524	31.71	73	58.53
494	29.88	72	57.58
498	29.89	72	57.83
549	30.93	72	60.05
499	28.52	73	59.05
497	29.60	73	58.91
534	30.05	73	59.46
582	30.39	72	63.58
553	29.63	72	62.55
574	31.40	73	62.31
527	31.04	72	62.14
491	30.54	72	58.42
498	30.83	72	50.89
548	32.61	72	50.92
557	30.61	72	52.62
552	30.82	72	53.06
616	32.04	73	66.29
626	32.26	72	66.85
625	31.72	73	68.84
651	31.14	73	69.18
559	31.30	73	64.15
527	30.55	73	62.66
577	30.82	73	65.06
599	30.53	73	64.26
603	31.64	73	60.48
527	29.25	73	62.02
546	29.80	73	61.75
567	30.55	73	62.46
544	30.14	73	60.17
525	30.18	73	59.81
577	31.60	73	60.78
569	30.95	74	54.87
580	30.63	73	51.15
588	29.96	73	64.61
600	31.16	74	66.54
589	29.72	74	65.70
569	29.57	75	63.87
512	30.54	74	59.24
529	30.92	73	49.81
495	29.93	73	47.68
545	32.06	73	47.91
507	30.55	73	47.92
496	29.84	73	47.42
547	31.47	73	49.99
517	30.41	73	48.04
548	31.06	74	49.56
569	30.55	73	51.76
530	30.25	73	55.75
518	30.19	73	60.34
507	29.87	74	58.88
547	31.87	74	60.41
539	30.78	74	61.03
508	29.82	74	59.66
561	29.82	74	63.43
534	30.40	74	61.18
521	30.17	74	60.41
557	31.01	74	61.16
579	30.52	74	64.42
637	31.27	73	61.07
594	30.28	74	62.25
607	31.87	74	54.46
540	30.27	74	49.92
534	29.96	74	49.03
556	30.02	73	51.08
516	29.51	74	52.75
508	30.46	73	48.28
552	30.71	73	50.77
556	31.12	73	53.32
606	32.02	73	64.93
612	30.55	74	66.82
610	31.90	73	65.98
612	31.99	73	65.18
560	30.61	73	62.90
560	30.03	74	61.77
570	30.38	75	64.75
572	30.42	74	66.08
595	31.76	73	64.47
591	31.13	74	64.54
557	31.06	74	62.48
574	30.77	74	63.47
641	32.59	74	66.20
589	30.78	74	65.32
520	29.62	74	61.50
517	30.05	73	60.43
525	30.25	73	60.21
535	30.25	74	61.19
565	30.35	73	63.09
571	30.46	73	62.65
620	31.65	74	65.07
596	28.85	73	64.71
552	31.04	73	60.70
587	32.15	73	62.67
615	32.49	73	64.68
556	30.62	73	62.30
568	30.35	73	62.82
533	28.86	74	57.13
608	30.28	73	67.35
580	30.72	73	62.22
587	30.99	73	62.41
560	30.00	74	61.95
610	32.70	74	64.03
558	31.02	73	62.48
532	30.28	74	61.09
