Avg_MHz	Busy%	PkgTmp	PkgWatt
524	30.70	71	56.89
576	31.49	70	54.25
601	32.87	71	53.85
630	31.14	71	55.50
543	28.28	71	60.73
522	30.45	71	59.04
550	30.21	71	61.13
544	30.40	71	61.82
576	31.71	71	62.70
541	30.19	72	60.75
567	30.83	71	61.92
605	31.36	72	63.77
635	32.06	72	67.78
622	31.06	71	68.04
576	29.92	72	66.21
569	31.39	71	64.37
546	30.42	72	63.09
648	32.39	72	67.97
702	32.55	71	71.93
686	31.04	71	72.56
658	30.31	71	70.98
671	31.29	72	71.03
669	32.38	72	70.93
667	31.86	71	70.74
659	31.58	71	70.36
641	31.06	71	69.51
625	31.23	71	65.78
639	32.63	71	67.20
579	31.02	71	65.13
561	30.91	72	61.89
565	30.36	71	61.51
547	30.32	72	60.88
525	30.68	71	59.54
571	30.44	72	62.40
569	30.16	73	64.87
586	31.39	72	65.00
537	30.39	72	64.09
553	31.27	72	61.16
551	30.42	72	60.96
542	30.40	71	59.01
550	30.49	72	64.10
482	29.74	72	58.34
519	30.37	71	49.56
510	30.09	71	47.32
538	30.33	72	49.61
583	30.55	72	58.87
574	30.70	72	63.78
603	32.19	71	65.00
584	31.35	71	62.86
597	31.91	72	64.13
581	30.67	71	63.69
524	29.97	72	59.97
562	31.37	71	61.61
516	30.21	72	59.38
549	30.37	72	61.42
551	29.55	73	61.73
514	29.59	73	59.46
532	30.51	72	60.06
521	30.26	71	59.61
510	30.57	72	58.89
534	29.89	73	61.06
585	31.13	72	63.86
592	31.26	73	64.53
535	30.17	72	60.33
511	30.16	73	49.73
514	29.05	72	49.82
564	31.09	72	51.29
558	30.35	73	51.96
561	31.57	72	56.65
522	31.04	72	59.45
537	30.12	72	61.11
510	29.58	72	59.49
527	30.47	72	60.36
530	29.83	72	60.47
519	29.89	73	58.96
568	30.49	72	62.83
610	31.56	73	65.14
612	31.64	73	66.45
564	30.42	72	64.75
553	31.13	73	61.14
596	31.57	73	64.29
645	31.66	73	67.96
626	30.92	73	66.83
548	29.82	73	60.51
572	30.99	73	61.70
579	29.40	73	62.42
566	30.42	73	61.62
594	32.46	72	62.36
614	32.19	73	65.39
652	32.12	73	67.32
621	30.33	73	66.35
539	28.63	74	63.62
554	30.89	73	61.71
576	30.93	73	62.95
588	30.52	73	63.39
605	30.93	73	64.87
574	29.98	73	63.56
603	31.18	73	65.19
615	33.07	73	64.67
639	31.63	73	67.05
613	31.23	73	65.55
625	31.38	73	67.41
675	31.25	73	71.24
639	31.15	73	70.01
628	31.14	73	68.98
645	31.30	74	69.64
676	31.25	74	71.09
652	31.51	73	70.28
672	32.79	73	70.49
682	31.96	74	72.26
677	30.05	73	73.51
591	31.59	74	66.46
653	32.14	74	69.60
647	32.78	73	69.27
666	32.06	75	71.05
596	29.38	74	67.65
605	31.39	73	67.61
611	32.33	74	68.22
590	31.00	74	66.86
623	32.09	74	67.49
611	30.95	73	68.36
603	31.15	73	67.31
660	31.67	75	71.12
711	31.85	73	75.05
695	31.84	74	74.95
669	31.41	74	72.67
610	30.72	74	68.31
645	31.97	74	72.44
638	31.54	74	70.21
636	32.85	74	68.28
658	32.20	73	69.62
616	31.87	74	65.35
601	30.76	74	64.94
661	33.56	75	66.46
652	31.17	74	70.68
591	29.60	74	67.56
623	31.42	73	66.71
665	32.13	74	69.09
658	30.11	74	70.76
687	33.14	73	70.22
605	30.98	74	66.51
577	30.29	74	64.12
552	29.84	74	62.49
584	31.92	74	63.58
645	31.20	74	69.40
622	29.72	74	69.12
600	31.11	73	67.38
651	31.98	74	69.18
591	29.76	75	66.96
