Avg_MHz	Busy%	PkgTmp	PkgWatt
471	25.82	72	57.65
377	23.70	74	54.84
456	29.86	73	54.97
525	27.41	73	64.31
388	24.53	73	53.01
396	26.16	73	56.82
476	28.45	73	60.08
493	26.56	73	61.21
458	27.17	73	53.80
383	25.69	72	42.51
377	25.02	73	40.04
424	25.41	72	44.37
433	28.28	72	43.24
396	26.33	73	40.89
434	26.20	72	43.81
448	26.58	72	44.90
418	24.93	72	44.23
437	27.90	72	51.47
450	27.17	72	57.18
448	26.61	72	56.84
411	25.12	73	55.72
448	27.21	73	56.15
471	28.11	73	57.29
405	25.01	73	54.73
383	24.58	73	53.71
434	26.35	73	56.39
453	26.52	72	56.64
436	26.14	74	55.77
409	26.68	73	54.71
380	25.30	72	53.40
447	28.12	73	55.41
449	26.43	74	56.76
440	27.09	73	56.28
409	26.12	72	54.53
442	26.29	72	56.49
449	25.83	73	57.35
408	25.27	73	55.58
418	26.80	72	52.27
448	28.24	72	58.81
450	26.29	73	56.76
399	25.40	73	54.54
449	26.67	73	57.02
412	27.34	73	55.27
467	27.54	73	58.46
400	25.52	73	56.28
467	27.44	73	59.33
471	26.16	73	60.27
493	28.16	73	61.12
490	27.28	73	59.55
493	27.18	73	62.43
484	26.47	73	62.02
480	26.09	73	60.62
488	28.18	73	60.41
498	27.17	73	56.29
493	27.25	73	49.95
512	26.55	73	61.78
449	25.71	73	58.09
402	25.50	73	54.85
432	27.82	73	49.08
437	25.00	73	45.72
395	26.30	73	40.87
451	27.58	73	45.13
425	27.45	73	51.16
446	27.10	73	46.79
416	25.36	73	44.76
432	26.54	73	44.87
441	26.45	72	44.78
389	24.48	72	49.85
393	26.94	72	52.20
405	26.52	72	55.50
435	25.80	73	56.11
423	26.07	73	55.72
428	27.21	73	55.56
416	26.03	72	54.67
461	26.90	73	56.48
433	25.22	73	56.40
420	25.61	73	55.11
386	27.28	72	52.60
484	28.04	72	48.16
435	25.69	72	48.22
437	26.45	73	56.12
416	24.99	72	55.58
433	27.24	72	45.50
396	24.98	72	47.70
442	27.27	72	49.54
436	26.75	72	46.60
442	26.03	73	45.07
401	27.44	72	40.00
400	26.85	71	40.42
420	26.20	72	42.62
443	25.78	71	45.54
414	25.49	72	48.91
429	26.70	72	55.41
447	26.97	73	56.52
458	26.70	73	56.78
414	24.40	71	55.80
419	26.00	72	52.91
395	25.93	73	55.73
518	29.37	72	50.69
470	25.27	72	55.37
455	25.99	72	57.29
445	25.97	73	56.99
431	27.16	72	55.46
426	28.07	73	52.60
520	28.09	71	65.52
486	26.44	74	61.15
494	25.79	73	60.50
390	25.37	72	54.70
398	26.87	72	53.56
445	26.88	73	56.18
448	26.20	73	57.32
409	26.14	73	54.98
393	25.66	73	53.92
443	25.98	73	56.69
442	25.76	72	56.40
408	25.88	72	55.30
405	24.82	72	54.85
467	29.77	72	57.52
532	28.37	72	61.73
455	26.64	72	57.58
469	27.19	73	57.11
466	25.92	73	58.27
463	27.54	73	57.56
431	26.48	72	57.37
482	26.43	72	49.02
485	26.55	72	49.41
463	25.78	73	52.92
402	27.01	72	53.88
462	28.89	73	57.28
461	26.17	72	57.06
415	25.21	72	55.13
369	25.07	72	52.97
450	28.88	73	55.66
444	26.30	73	56.47
424	26.74	72	55.73
472	27.60	72	59.09
455	25.63	73	57.22
462	26.43	72	56.88
427	27.46	73	55.45
469	28.48	72	58.64
497	26.46	73	61.30
478	25.53	73	59.01
410	26.38	72	53.95
482	28.36	73	60.51
514	27.66	72	61.42
475	25.36	73	59.92
411	25.34	72	56.20
423	26.70	73	54.20
476	28.42	73	56.97
469	25.77	73	57.52
371	24.15	73	53.95
366	24.61	73	52.63
453	28.52	73	56.25
440	25.62	72	56.40
415	26.08	72	55.12
418	25.90	73	55.15
437	26.50	73	55.74
460	27.40	72	57.21
421	27.15	73	55.08
445	26.75	73	56.30
442	25.56	73	56.49
404	25.04	73	54.68
407	26.33	72	54.70
441	25.87	73	56.31
442	25.73	73	56.43
405	24.93	72	54.95
388	25.35	74	53.04
388	25.96	74	54.08
464	27.87	73	56.78
458	27.47	73	56.98
411	25.66	73	54.07
402	25.66	73	55.24
466	28.21	72	56.34
459	26.51	73	57.13
417	26.07	73	55.34
410	24.94	74	55.18
444	26.74	73	56.17
447	26.70	73	56.67
440	27.88	73	55.67
426	26.63	73	55.79
427	26.03	73	55.51
383	26.76	72	47.57
435	27.86	73	55.37
455	26.24	73	56.66
447	25.79	73	56.88
362	24.97	72	49.88
379	25.81	73	39.54
399	26.34	72	42.98
429	26.58	72	45.03
452	28.43	73	45.46
431	27.17	72	47.14
488	28.20	73	65.81
523	27.74	72	62.09
339	20.59	71	55.14
246	14.46	72	35.43
286	16.61	71	46.78
352	17.14	73	50.13
313	14.35	73	54.75
321	16.29	72	53.29
306	15.03	73	52.97
235	14.04	73	49.45
231	15.58	72	46.38
347	18.01	72	44.80
337	15.83	72	45.50
