Avg_MHz	Busy%	PkgTmp	PkgWatt
319	18.67	72	52.18
373	21.49	72	53.91
367	20.22	72	54.15
321	17.99	73	52.64
325	18.80	72	52.29
298	17.65	73	51.16
341	18.43	72	53.59
314	18.29	73	50.28
375	20.13	73	59.36
369	18.45	72	57.14
344	17.89	72	54.50
319	18.90	72	52.56
325	19.21	72	52.15
336	17.83	72	53.35
302	17.65	71	55.42
275	16.58	72	59.51
335	18.58	72	53.02
336	17.85	71	53.21
327	17.62	72	51.81
269	16.31	72	51.63
314	18.33	71	51.73
370	20.13	71	54.24
345	18.17	71	53.26
314	18.32	71	51.96
258	16.44	72	50.33
350	20.19	72	55.20
371	18.33	71	57.84
335	17.18	72	54.00
334	17.67	72	53.16
272	16.66	72	50.82
303	19.52	72	50.54
333	20.07	71	41.06
263	17.34	71	36.93
355	20.21	71	43.36
325	17.75	71	49.81
352	18.64	71	58.83
378	18.58	71	57.87
378	18.19	72	58.34
366	18.45	72	56.75
381	19.18	72	58.46
365	18.13	71	57.52
369	20.48	72	57.15
326	17.64	72	56.08
309	18.00	71	51.35
299	18.23	71	54.36
362	18.27	72	56.37
338	16.76	72	55.13
330	17.38	72	53.12
310	16.61	71	52.28
308	17.16	72	52.05
280	16.03	72	51.26
340	19.64	72	53.72
335	17.88	73	50.62
301	16.68	72	59.44
265	15.28	72	53.40
318	17.39	72	52.53
328	17.16	72	52.91
329	17.27	72	52.98
282	15.84	72	51.67
306	18.81	72	52.19
359	18.19	73	56.98
375	19.76	72	57.57
327	17.60	72	53.95
294	16.93	72	59.56
334	18.03	71	53.27
335	17.42	71	54.00
262	16.44	72	50.46
322	17.68	72	52.55
291	16.37	72	50.14
331	17.96	71	51.76
296	16.83	71	51.28
353	19.38	71	53.73
344	18.29	72	53.42
277	16.60	72	50.76
282	18.16	71	51.37
364	19.06	72	56.48
370	18.18	72	57.69
368	18.03	72	57.53
348	16.80	72	56.04
333	17.33	71	53.11
334	17.42	71	53.19
358	19.40	71	53.74
287	18.00	72	51.66
307	17.57	73	52.20
335	18.12	72	52.70
308	16.75	72	52.27
326	19.31	72	53.41
370	18.35	71	57.36
337	16.90	73	54.16
286	16.00	72	51.29
302	17.71	72	51.30
354	19.51	72	53.70
289	16.45	71	56.86
263	16.32	73	55.98
317	17.75	72	52.10
330	17.29	72	52.93
330	17.28	71	52.93
279	16.09	72	50.12
317	19.20	72	53.89
366	18.30	72	57.28
378	18.72	72	58.04
353	17.95	72	55.30
275	16.03	72	50.38
333	20.26	71	54.14
363	17.82	72	57.71
322	17.41	72	53.46
327	17.15	72	52.97
287	15.79	72	51.13
319	17.66	72	51.90
295	16.41	72	51.85
335	17.79	72	53.10
352	18.81	72	53.67
296	16.69	72	51.48
258	15.40	71	50.46
323	17.42	72	52.64
325	16.83	72	52.81
315	16.50	71	52.51
270	15.49	71	51.00
328	19.25	73	53.98
362	17.62	71	57.26
356	17.25	72	55.61
344	18.02	71	56.09
289	16.41	72	51.36
331	17.85	71	53.14
300	16.08	72	51.56
315	16.95	72	53.34
318	16.66	72	52.27
275	15.66	71	50.85
294	16.03	72	51.78
312	16.87	72	52.27
333	17.77	72	53.02
276	17.44	71	51.10
352	20.22	72	54.46
364	18.94	72	57.22
363	17.38	72	57.52
363	17.29	71	57.72
363	17.40	72	57.16
363	17.36	72	57.28
362	17.24	72	57.30
361	17.20	71	57.40
310	16.07	72	54.99
344	20.19	72	54.47
370	18.49	72	57.86
366	17.86	73	57.96
341	16.51	72	55.90
323	16.33	72	53.70
288	16.74	71	51.19
314	16.84	72	49.96
327	18.16	72	42.73
338	18.37	72	55.56
360	17.78	74	57.59
384	19.30	72	58.36
348	16.83	73	56.39
330	16.97	72	53.41
325	16.78	72	53.13
321	16.60	72	53.01
331	18.42	72	53.92
356	18.30	72	56.95
338	17.44	73	57.11
356	17.35	73	53.73
345	17.41	72	46.12
358	19.18	72	45.81
372	18.29	72	46.94
377	18.20	71	48.61
369	17.19	72	58.53
370	17.22	72	58.80
369	17.26	72	58.70
368	17.26	72	58.73
369	17.24	72	58.73
370	17.32	73	58.82
370	17.40	72	58.77
393	19.26	72	59.39
380	18.05	73	59.31
379	18.00	72	59.05
369	17.29	72	58.80
369	17.26	73	58.86
371	17.29	73	59.00
368	17.28	72	58.80
370	17.27	72	59.09
308	16.45	74	48.89
337	16.44	73	63.48
302	17.30	72	52.01
341	18.78	73	53.33
302	16.20	72	52.52
319	17.47	73	52.75
282	15.86	73	42.32
337	19.10	73	68.41
315	16.01	73	53.61
322	16.63	73	53.11
322	16.64	73	53.19
286	17.03	72	51.62
266	16.29	72	50.82
302	16.43	73	52.31
253	14.92	73	50.18
244	14.67	72	49.55
214	13.94	72	36.75
257	15.43	72	37.42
292	14.95	72	40.62
291	14.84	72	47.07
