Avg_MHz	Busy%	PkgTmp	PkgWatt
459	28.13	71	44.85
469	27.38	70	45.50
445	26.00	70	45.62
451	25.73	69	46.30
446	22.95	70	49.45
436	24.60	71	45.61
448	25.15	71	45.55
440	26.54	70	44.52
438	26.23	70	44.65
455	27.28	71	45.27
451	27.36	71	45.18
458	28.27	71	45.19
439	26.07	70	44.55
450	26.81	71	45.25
444	26.52	71	44.94
434	25.69	71	44.70
417	26.74	71	43.64
433	26.37	71	44.22
410	26.38	71	43.61
439	27.10	71	44.09
456	26.66	70	46.52
469	28.02	72	57.04
444	26.24	71	56.49
442	22.91	71	59.73
443	25.54	71	51.77
443	25.52	71	54.69
432	26.37	72	55.19
422	26.03	71	50.45
439	25.56	71	45.14
451	25.92	72	45.37
453	25.24	71	49.03
470	27.75	71	57.30
406	24.92	72	54.17
435	26.80	72	47.60
456	25.88	71	45.42
452	26.24	71	44.86
419	25.01	71	44.28
460	26.82	71	45.13
444	26.28	71	50.66
434	25.89	72	55.76
450	26.81	71	55.54
492	28.87	71	56.75
464	24.47	71	59.19
454	25.52	71	58.33
446	26.34	71	55.49
446	26.07	70	55.59
449	26.39	71	55.81
447	26.58	71	55.86
442	26.33	71	55.64
452	27.12	73	55.78
450	26.49	72	55.99
461	28.24	71	56.45
441	25.85	72	55.58
456	26.64	72	56.57
447	26.22	72	55.82
431	26.35	72	53.42
473	26.30	73	59.26
457	25.92	72	56.82
446	26.17	71	56.54
437	25.58	72	55.94
457	26.12	71	56.21
490	28.46	72	57.68
458	26.49	72	56.57
474	26.92	72	56.95
469	25.89	73	57.02
446	25.65	71	56.70
440	25.84	72	53.17
460	26.72	72	59.66
461	26.34	72	56.93
453	25.72	73	56.41
453	25.79	73	56.27
481	28.44	72	57.70
463	25.27	73	57.20
460	27.01	72	56.87
441	25.58	72	56.53
445	26.21	72	55.85
441	25.55	72	55.77
458	26.66	72	56.23
440	25.45	72	55.86
450	26.42	73	56.27
453	26.64	73	55.86
476	28.38	72	56.57
433	25.31	72	55.80
457	26.46	72	56.52
409	26.38	72	54.50
413	26.01	72	54.35
402	25.65	72	52.90
440	26.39	72	45.26
445	26.67	72	45.49
458	26.75	73	56.82
452	26.74	72	56.59
478	25.85	73	59.92
457	23.80	73	59.41
461	27.25	73	56.75
435	25.32	72	56.28
447	26.30	73	56.24
446	25.73	72	56.63
452	26.33	73	56.34
437	25.91	73	55.77
451	26.52	72	56.03
419	26.68	73	52.17
464	28.24	72	45.81
422	27.05	72	40.62
511	27.37	72	54.28
486	26.53	73	59.75
494	26.10	73	60.83
482	25.99	73	60.36
488	25.60	73	61.33
482	25.29	73	60.46
482	26.06	74	60.07
469	25.55	73	60.04
499	28.60	73	59.68
480	26.91	73	59.93
483	27.13	73	60.12
473	27.15	73	48.42
484	27.12	72	49.35
448	26.33	73	58.89
488	27.78	73	48.70
468	26.03	73	47.72
458	25.87	73	56.87
441	25.81	73	56.15
481	29.27	73	56.95
439	23.22	74	58.97
455	24.56	74	60.29
419	25.55	74	55.56
457	27.01	74	56.76
442	25.92	73	45.42
441	26.67	73	52.80
408	25.68	73	45.11
457	26.56	73	45.81
430	26.40	74	44.80
466	27.91	73	45.70
451	26.98	73	44.76
436	26.37	73	44.77
433	25.59	73	44.13
415	26.10	73	43.57
448	26.63	73	44.79
455	26.42	73	44.97
420	26.04	74	44.15
437	26.34	73	44.69
466	26.69	73	45.70
472	26.16	73	44.66
483	25.06	73	52.62
465	27.25	73	45.72
433	25.39	73	44.97
437	25.19	73	44.95
423	26.25	74	44.72
433	25.88	74	44.96
446	25.38	73	48.16
435	25.56	73	55.19
460	27.13	74	57.81
478	27.98	73	56.96
462	26.99	73	57.37
454	26.98	74	56.63
465	26.61	73	57.30
462	22.64	74	61.21
458	25.42	73	57.82
451	25.69	73	56.81
410	25.67	74	53.35
424	26.09	73	43.87
419	27.00	74	43.34
440	27.38	73	43.59
525	25.32	73	55.41
492	26.20	73	49.12
480	25.21	74	55.58
484	25.86	73	60.33
460	25.98	74	57.64
469	26.09	73	57.77
460	26.01	74	57.36
437	25.86	73	56.36
429	25.34	73	47.95
460	27.66	73	45.51
488	28.56	73	50.43
473	26.23	73	57.50
460	26.07	73	57.61
461	26.17	74	57.67
453	25.59	74	57.38
432	24.92	73	56.64
459	25.50	74	48.68
467	26.80	73	45.95
427	25.31	74	52.72
426	26.67	74	44.31
441	27.40	73	44.42
429	26.86	73	44.10
407	25.92	74	43.06
428	27.59	74	43.09
477	25.00	73	52.48
476	25.48	73	49.99
477	26.88	74	53.76
499	27.22	74	60.85
489	25.85	73	60.86
505	27.34	73	61.28
488	28.08	74	61.06
466	26.21	73	48.37
310	15.71	73	41.39
307	14.99	74	51.98
306	14.98	73	51.90
299	15.07	74	51.71
307	15.19	73	52.04
306	15.04	73	52.00
306	15.03	73	52.08
275	14.94	73	49.42
295	16.99	74	45.01
277	15.37	73	40.28
263	15.09	73	39.35
259	14.91	73	38.17
270	15.07	73	39.77
275	14.92	73	40.22
289	14.89	73	40.79
289	14.67	73	40.70
298	14.80	74	48.26
