Avg_MHz	Busy%	PkgTmp	PkgWatt
392	19.66	71	57.82
366	18.05	71	56.31
328	18.52	71	52.10
324	18.92	70	49.01
297	19.18	70	37.19
282	18.91	71	35.11
356	20.65	71	41.49
344	18.84	70	41.82
281	17.38	72	50.73
279	18.77	71	49.16
340	19.54	71	39.95
355	18.90	71	50.97
354	18.91	71	53.01
325	18.82	71	52.43
330	19.92	71	43.07
351	19.68	70	41.69
367	20.26	71	49.15
331	19.46	71	53.08
325	18.33	72	52.46
347	19.20	71	52.17
361	19.43	71	53.99
286	18.13	70	50.07
333	19.46	71	48.08
355	19.32	71	42.08
354	20.58	71	50.53
313	18.72	71	51.52
352	20.14	72	47.23
345	18.89	72	41.84
348	18.67	71	50.30
312	18.77	71	51.52
354	19.24	71	53.19
366	19.90	71	53.60
350	18.83	72	53.03
271	18.45	70	50.65
311	20.08	70	46.95
347	19.25	70	41.46
361	19.98	71	46.48
283	18.05	70	48.54
322	18.79	70	54.73
352	19.05	71	53.41
314	18.10	72	52.18
333	20.01	71	51.50
349	18.90	71	53.05
320	18.27	70	51.64
312	19.22	71	51.41
334	19.24	72	52.13
365	20.18	71	53.42
307	17.33	71	51.54
277	18.79	72	47.91
298	19.99	71	49.04
395	21.13	71	50.47
388	19.18	71	58.06
357	18.56	72	55.74
311	17.98	72	51.45
359	20.59	72	53.05
351	18.85	72	53.17
312	19.49	71	51.72
277	17.35	72	45.68
332	19.25	71	41.96
315	18.89	71	51.42
295	19.32	71	37.91
322	19.22	71	39.37
349	19.14	71	42.13
305	17.93	71	47.04
298	19.09	71	51.38
343	19.35	71	44.57
363	20.42	71	49.09
316	18.33	71	52.02
305	18.19	71	51.55
332	19.12	71	52.22
344	19.69	72	51.10
347	19.10	71	42.10
323	18.99	71	40.79
303	18.35	71	39.66
368	20.87	72	42.24
346	19.01	72	41.86
315	19.19	71	40.31
292	17.96	71	39.59
343	19.48	71	41.63
312	18.70	71	40.38
347	20.25	71	41.42
325	19.41	71	40.61
306	18.10	71	35.71
334	20.31	72	51.51
377	21.24	72	55.69
403	20.28	72	58.42
363	19.15	72	55.98
265	17.50	71	48.56
293	20.27	70	37.24
385	20.63	71	44.90
402	20.24	72	57.19
369	18.91	71	56.23
313	17.80	72	51.28
351	20.35	72	52.25
330	19.58	72	52.13
289	18.34	72	39.52
302	19.37	71	38.57
338	19.81	72	41.47
352	19.12	72	53.25
319	18.11	72	51.94
360	20.27	72	52.98
351	19.05	71	52.67
304	18.02	71	51.32
314	19.52	72	51.66
333	20.73	72	51.59
335	19.41	72	44.68
335	20.01	72	41.03
295	18.80	71	43.33
305	19.20	71	42.94
350	19.01	71	41.52
360	19.39	71	42.11
298	18.29	71	40.30
311	19.00	70	40.54
352	19.79	71	41.40
355	20.99	70	41.71
276	17.90	72	38.84
306	20.54	72	48.28
383	21.09	71	56.23
397	19.82	72	58.03
362	18.44	71	55.24
361	19.70	72	53.40
353	19.26	72	52.86
311	18.20	72	50.83
325	20.20	71	52.14
418	22.27	71	58.23
399	19.91	72	58.26
378	19.98	72	54.95
324	19.03	72	51.89
356	19.58	71	52.76
358	19.40	73	53.71
365	19.90	72	53.75
321	18.69	72	51.71
314	18.68	72	51.05
356	19.75	72	52.65
374	20.90	72	53.57
328	19.75	72	51.03
366	20.24	72	55.58
364	20.07	71	53.16
317	18.49	72	51.61
347	20.80	72	52.40
356	19.49	72	53.01
309	18.39	72	51.47
305	19.19	72	51.42
367	21.31	72	52.83
351	18.89	72	53.33
321	18.70	72	51.61
302	18.66	71	51.32
320	20.46	72	51.91
395	20.67	71	57.35
403	20.22	73	58.23
369	19.30	71	56.02
313	18.00	73	51.37
344	19.53	72	52.12
363	19.91	73	53.74
318	19.74	72	51.88
388	21.90	73	56.28
411	20.88	73	58.20
397	19.74	72	58.14
364	18.48	73	55.42
355	19.33	72	53.20
353	19.20	73	53.14
299	18.43	72	51.10
323	19.54	73	52.35
338	18.91	73	52.53
343	20.65	73	43.55
342	19.22	72	41.62
289	19.00	72	37.61
319	19.23	71	39.72
346	18.97	71	45.00
331	19.30	72	52.35
307	19.00	73	46.13
315	18.95	71	40.20
348	19.01	73	51.61
351	18.99	72	53.60
319	20.59	71	51.76
387	20.77	72	57.84
413	21.00	72	59.30
399	19.41	73	59.07
352	17.67	73	55.38
350	18.73	73	53.99
333	19.51	73	52.98
307	18.63	73	45.98
286	18.74	72	36.17
352	19.48	72	41.81
341	20.52	71	45.38
312	19.02	73	37.29
286	18.30	72	40.35
339	19.12	72	51.81
360	19.21	73	53.66
350	19.01	72	53.34
329	19.29	72	51.16
338	19.28	73	52.82
325	16.42	73	52.65
284	14.60	74	48.43
271	15.10	73	53.99
