Avg_MHz	Busy%	PkgTmp	PkgWatt
520	29.79	70	59.99
539	31.66	71	59.17
562	29.95	71	61.82
593	31.68	71	63.09
627	31.96	70	67.66
620	30.95	71	66.31
564	29.55	71	62.15
530	28.10	72	60.98
525	32.94	71	59.50
568	30.42	71	63.44
542	28.79	71	62.26
443	29.80	71	55.68
507	30.20	71	50.87
494	29.96	71	46.07
530	30.23	71	49.37
500	29.36	71	46.97
607	33.10	71	52.42
634	31.65	71	62.53
644	32.90	72	68.59
620	30.36	71	65.66
555	29.31	70	61.85
458	28.63	71	56.41
435	28.46	72	51.62
607	31.73	72	68.37
550	28.78	72	63.09
487	28.41	71	58.74
554	30.53	72	61.76
510	28.95	71	59.43
584	32.32	71	64.03
536	28.84	71	63.40
520	29.62	71	58.34
562	31.24	72	62.88
575	29.66	72	64.08
492	27.75	71	58.99
514	29.57	72	59.72
535	30.10	71	60.22
586	28.74	72	63.78
498	27.06	71	60.19
573	31.98	71	61.22
535	28.70	72	60.62
474	28.70	71	57.46
456	29.56	71	56.91
489	31.39	71	58.19
643	33.74	71	67.15
623	31.25	72	67.68
554	27.90	71	63.79
531	29.22	72	60.79
524	27.24	71	60.40
557	29.48	72	63.46
493	30.39	72	55.51
591	30.89	72	66.10
552	29.71	72	61.52
521	29.12	73	59.51
515	31.24	72	59.02
611	30.39	71	65.15
607	30.71	71	63.06
519	27.87	72	61.54
569	31.55	72	61.07
524	28.93	72	61.28
495	27.87	72	59.37
442	27.67	71	56.56
464	29.89	72	55.76
524	31.15	72	59.76
522	29.31	71	60.53
532	29.40	72	60.55
508	29.78	71	59.34
600	33.08	72	63.81
576	30.31	72	64.21
550	30.15	72	61.30
487	29.17	71	58.38
634	33.17	71	67.34
549	28.33	72	63.18
522	29.18	72	60.97
489	29.07	73	58.02
526	30.33	72	59.79
526	29.30	72	61.48
580	31.16	72	63.77
602	30.38	72	64.64
552	28.59	72	61.92
457	28.12	71	57.69
516	31.23	71	58.36
527	32.20	73	60.94
605	31.36	72	65.54
601	28.94	73	65.77
524	27.90	73	61.56
484	26.23	73	59.78
508	29.23	73	59.81
527	30.33	73	60.97
520	27.72	73	61.16
498	28.86	73	60.48
555	30.67	73	61.76
484	29.06	73	58.90
483	30.54	72	57.69
484	31.51	72	51.36
521	29.70	73	52.24
535	30.15	73	50.59
511	29.40	72	49.43
536	31.63	72	48.80
515	29.22	73	48.85
466	29.69	72	48.09
441	30.33	72	44.57
551	32.06	72	54.79
618	30.60	73	67.41
475	28.72	72	56.24
543	30.34	72	52.44
563	28.83	73	62.99
562	30.09	73	62.28
541	31.41	73	60.69
450	28.50	73	56.59
509	31.67	73	59.69
673	33.55	74	69.27
576	28.27	72	66.33
472	27.15	73	55.48
519	32.77	73	63.41
588	30.36	73	66.02
537	29.05	73	62.88
541	30.83	73	60.46
600	33.06	73	63.99
485	28.92	72	58.30
448	28.08	73	57.45
442	30.20	73	51.79
634	32.73	72	70.63
590	31.66	73	65.76
569	30.40	73	64.84
491	29.10	73	58.44
543	31.46	73	63.83
533	29.98	73	63.08
523	31.82	73	61.36
517	30.36	73	59.91
580	31.54	73	62.68
479	28.28	73	59.36
565	33.20	73	61.77
501	29.96	72	60.23
610	31.97	73	66.40
601	29.23	73	67.95
593	30.95	73	66.01
611	30.49	73	68.31
573	29.83	73	61.08
422	27.61	73	55.21
449	30.29	73	61.63
494	30.24	73	58.17
538	31.09	74	60.43
501	29.79	74	59.93
486	29.31	73	58.62
576	31.58	73	62.93
599	29.96	74	66.07
520	31.12	73	60.39
487	29.39	73	59.19
535	31.73	73	62.01
631	33.08	73	66.78
563	30.14	73	62.87
551	30.80	74	61.74
568	30.41	75	62.23
557	29.87	73	63.04
536	30.04	74	61.12
516	29.60	73	59.77
530	29.97	74	60.91
503	29.77	74	59.68
482	29.26	73	57.83
541	31.79	75	62.30
566	31.22	74	63.45
540	30.28	74	61.79
527	30.70	74	60.87
515	29.89	73	56.84
560	29.89	73	67.69
540	29.23	73	63.84
594	32.02	74	65.98
565	30.57	75	63.09
565	30.80	75	62.17
526	29.73	74	60.74
533	29.81	74	57.48
491	29.37	74	65.73
537	31.08	73	60.40
487	28.72	74	61.34
525	31.66	74	61.50
573	31.09	73	65.14
495	29.55	73	58.15
419	27.94	74	59.07
444	29.91	73	55.78
588	33.10	74	64.73
543	30.41	74	62.70
520	30.03	74	60.14
505	28.45	74	53.89
507	31.36	74	69.47
542	30.63	73	63.32
527	29.84	73	60.90
458	30.51	73	57.24
618	34.15	74	67.01
665	31.87	74	71.56
600	31.86	74	66.89
537	29.91	74	59.50
404	20.16	74	62.03
268	13.72	74	53.36
264	15.65	74	51.96
