Avg_MHz	Busy%	PkgTmp	PkgWatt
488	25.54	73	60.77
547	32.53	73	60.31
501	29.06	73	58.96
503	29.57	74	58.92
496	27.85	73	59.61
493	29.73	73	58.13
502	29.39	74	59.34
502	28.80	74	59.46
484	28.38	73	57.89
499	29.74	73	58.94
491	29.47	74	58.55
546	32.61	74	60.29
494	28.63	74	59.60
484	29.72	74	57.94
489	28.12	73	59.03
511	29.11	74	59.05
535	29.21	73	60.55
498	27.02	73	60.35
496	28.81	73	58.86
489	27.77	73	58.91
502	28.04	73	59.10
529	31.01	74	59.40
499	29.32	74	59.33
500	29.53	73	58.67
489	29.34	73	58.25
494	27.69	74	59.45
488	26.50	73	59.83
493	28.15	74	59.21
483	28.17	74	58.31
511	28.89	73	59.61
490	28.21	74	58.53
538	31.07	74	59.31
529	29.94	73	59.85
509	27.53	74	59.95
500	27.88	73	59.41
494	27.79	74	58.80
490	28.72	74	58.76
499	28.80	74	58.79
518	29.21	75	59.34
509	28.01	75	59.50
484	28.77	74	58.42
511	29.09	73	59.23
538	30.15	74	60.50
523	28.55	75	60.96
491	27.72	74	59.40
506	29.78	74	59.36
496	28.94	74	59.17
496	28.03	74	59.61
487	29.09	74	58.50
491	27.85	73	58.55
494	28.22	74	59.78
496	29.64	74	57.81
515	30.50	74	60.26
497	29.58	74	58.63
496	27.88	75	59.70
490	28.12	74	58.64
492	29.55	75	58.05
500	28.08	74	59.65
516	28.32	74	60.59
503	28.56	75	59.42
495	28.24	74	59.09
502	29.71	74	58.83
521	29.63	74	60.60
485	26.98	74	59.11
481	26.89	74	59.53
497	28.86	74	58.96
495	28.91	75	58.97
496	27.59	74	59.25
490	27.58	74	59.19
447	28.32	75	56.79
498	28.69	74	58.71
489	27.58	73	51.93
491	31.34	73	45.89
475	29.09	73	46.31
501	29.10	73	47.21
490	28.73	73	47.09
482	28.88	73	46.92
492	29.04	73	47.06
504	28.89	73	48.36
504	28.20	73	48.30
466	28.42	73	45.70
463	28.07	73	46.35
526	31.35	73	47.74
491	27.86	73	49.13
430	26.68	73	55.33
492	29.01	73	48.13
464	28.08	74	46.01
473	29.44	73	46.05
504	29.02	73	47.36
512	28.89	73	48.28
503	28.67	73	48.07
499	27.29	73	48.99
527	32.06	73	48.12
521	30.46	73	47.76
529	27.44	73	49.67
506	27.23	73	48.97
484	27.42	73	47.73
499	27.15	74	58.19
495	27.29	73	59.55
495	28.50	74	58.99
481	28.15	73	58.34
496	28.81	74	59.18
530	30.95	74	60.04
489	28.69	74	57.56
509	29.43	74	60.85
495	28.76	73	59.04
488	28.12	74	58.25
525	28.69	74	61.17
521	28.17	74	60.96
485	26.21	74	59.60
484	26.40	74	59.66
506	29.47	74	58.89
525	31.90	74	59.35
512	30.17	74	58.46
507	29.30	74	59.00
502	28.71	73	59.05
490	27.26	73	59.57
499	29.09	74	58.83
490	27.90	74	58.53
491	28.31	73	59.17
504	28.64	73	59.22
519	29.16	74	59.49
535	32.14	75	60.18
502	29.43	74	59.02
529	29.36	75	60.15
525	28.11	74	60.62
520	27.16	74	60.60
499	26.62	74	60.59
490	26.51	74	60.01
491	26.89	74	59.74
496	27.32	74	59.97
485	25.98	74	59.93
522	30.39	74	59.71
508	28.97	74	59.03
497	28.32	74	59.02
494	27.78	74	57.92
505	29.08	74	60.76
511	29.47	74	59.44
505	29.01	74	59.63
506	28.86	74	59.84
502	29.62	74	58.98
505	29.51	75	58.84
528	29.47	74	61.00
525	30.30	75	59.79
493	27.71	73	59.85
490	28.15	73	58.38
496	30.06	73	57.62
453	28.65	74	57.05
478	29.35	74	57.28
492	29.22	73	49.87
494	28.41	73	51.86
502	29.27	73	59.11
520	31.00	73	58.84
508	30.78	73	58.31
490	28.23	73	58.87
490	28.46	73	58.41
498	28.97	73	58.29
499	29.09	73	58.15
492	28.10	73	58.22
494	28.71	73	58.37
497	28.55	73	58.87
493	28.59	73	57.97
498	30.35	73	59.18
480	30.05	73	56.30
512	26.43	73	56.25
521	27.67	73	61.25
502	28.23	73	59.23
508	29.32	73	54.25
498	27.79	73	48.57
484	28.61	72	46.36
529	27.95	73	50.58
502	28.99	73	48.15
522	30.42	73	48.50
507	28.62	73	48.70
481	28.53	72	44.86
495	27.41	72	49.90
515	28.21	73	49.50
508	27.40	72	48.85
490	28.28	72	47.65
512	29.79	73	47.79
502	27.65	72	48.83
481	27.59	72	46.84
539	31.71	73	47.78
526	27.17	72	53.15
510	27.70	73	60.90
497	29.29	72	58.88
517	29.76	73	59.73
489	28.57	72	59.35
505	29.41	73	58.92
510	28.48	73	59.59
523	28.65	72	60.17
494	28.90	73	58.57
518	31.58	72	58.02
512	28.50	72	59.94
407	22.38	73	56.05
275	14.89	72	51.08
298	15.16	72	51.50
298	15.10	72	43.88
281	14.76	72	50.89
286	15.00	72	41.24
279	15.07	72	39.62
263	14.95	71	38.97
277	16.37	71	38.62
293	16.37	72	39.80
294	14.84	71	40.12
272	15.11	71	39.69
255	14.80	72	37.74
288	14.99	71	40.08
294	14.89	70	41.79
287	14.66	72	51.07
252	14.45	72	49.46
278	14.90	71	40.31
280	16.13	70	39.33
298	16.54	70	39.83
281	14.71	71	39.22
270	15.08	70	39.92
270	15.00	69	38.98
263	15.13	70	38.59
263	14.74	70	38.60
280	14.71	70	39.99
287	15.02	69	40.25
260	14.90	70	39.07
288	15.97	70	39.44
