Avg_MHz Busy%   PkgTmp  PkgWatt
314     16.31   72      53.31
304     14.70   71      52.44
320     16.61   72      52.20
347     22.50   72      54.00
430     26.38   72      55.72
394     21.86   71      60.01
385     24.49   72      55.46
357     23.08   72      53.20
406     23.96   73      55.47
408     23.48   72      55.41
366     23.20   72      53.69
384     23.52   72      54.42
402     23.92   72      68.60
413     24.72   72      64.00
408     24.61   72      63.89
357     23.39   71      62.23
409     26.19   72      66.73
472     26.47   73      60.47
423     23.15   72      59.34
402     22.73   72      56.20
368     22.52   71      54.22
404     25.04   72      56.57
429     23.26   72      59.04
412     23.35   72      56.41
417     24.29   72      56.03
355     22.61   72      53.70
392     24.27   73      55.93
409     25.24   72      55.93
388     23.42   72      50.09
402     23.33   72      64.93
391     22.70   73      52.89
408     23.33   72      56.19
405     23.13   73      56.10
405     22.95   72      56.46
409     23.78   72      55.95
381     22.60   73      54.88
406     23.48   72      55.58
436     25.25   72      56.69
365     21.69   73      54.79
401     23.85   72      55.37
367     22.47   72      54.12
403     23.48   72      55.58
359     21.56   73      54.32
402     23.75   72      55.53
381     23.14   72      68.74
410     23.50   71      64.05
347     22.95   72      53.74
418     26.40   72      56.81
400     23.55   71      68.12
440     24.18   72      67.80
426     23.86   72      50.14
442     24.35   72      60.66
434     23.45   72      60.28
424     23.23   73      59.65
379     23.23   73      54.72
389     23.49   73      55.12
409     23.73   72      55.64
421     25.15   72      56.14
340     22.23   72      52.05
342     22.82   71      69.05
353     23.34   72      69.85
359     22.78   72      62.42
382     24.41   72      54.80
409     23.03   72      52.54
395     23.71   72      64.32
331     21.91   71      60.69
424     27.51   71      64.93
445     24.87   71      59.66
436     23.44   72      60.12
410     22.38   72      67.64
407     23.22   72      66.57
403     23.02   73      56.56
405     23.14   72      56.42
383     22.44   72      54.38
392     23.95   74      55.72
409     23.49   72      56.29
444     26.13   72      57.14
381     23.65   71      54.63
395     23.09   72      54.79
346     22.82   72      53.20
424     24.96   72      58.47
390     24.00   72      56.39
428     23.96   72      58.85
386     22.05   71      52.47
341     23.63   72      53.20
400     25.79   71      63.92
460     25.64   71      57.91
370     21.95   72      52.52
398     25.46   72      69.24
435     24.10   71      68.26
422     23.90   72      68.43
426     24.01   72      48.05
417     23.04   72      67.24
407     23.78   71      52.64
397     23.01   72      55.18
413     24.47   72      55.39
342     22.95   71      52.65
392     23.59   71      55.01
399     23.28   72      54.94
405     23.35   72      55.75
346     22.81   71      53.67
442     25.55   72      59.43
447     24.15   71      60.57
446     24.90   71      56.86
451     25.27   71      64.20
474     25.74   73      61.40
475     25.18   72      61.79
455     24.32   72      61.34
444     24.37   72      60.44
446     24.22   71      60.49
447     23.73   72      60.78
431     24.11   72      52.73
474     24.69   71      71.53
462     24.86   71      61.03
452     24.20   72      61.11
482     26.35   72      61.74
448     23.98   72      60.75
452     24.10   72      61.12
449     23.83   72      61.16
450     24.12   72      60.86
457     24.50   71      61.29
454     24.24   72      61.24
455     24.35   72      61.36
465     25.09   72      61.61
453     24.10   72      61.25
446     25.96   71      60.19
459     24.81   72      58.41
416     22.92   71      66.81
410     23.69   72      56.17
405     23.59   71      55.59
405     23.48   72      55.68
405     23.45   72      55.75
415     23.81   72      56.36
419     24.59   71      56.06
408     23.42   72      56.00
444     27.88   72      57.79
457     25.42   72      60.45
448     24.13   72      61.09
443     23.86   71      60.84
445     24.14   72      60.58
444     23.52   71      60.75
448     24.49   72      60.60
453     24.83   72      60.90
419     23.39   71      58.01
410     23.54   71      55.96
416     24.62   72      55.73
423     24.86   71      56.16
422     25.66   72      57.57
453     24.75   72      60.47
448     24.08   71      60.99
455     24.35   72      61.48
437     24.75   72      60.10
448     23.98   72      61.09
449     24.11   73      60.90
457     24.54   72      61.71
446     25.32   72      60.31
469     25.92   72      61.02
443     23.66   71      60.73
447     24.07   72      60.70
446     24.36   72      60.94
445     24.21   72      60.90
451     24.09   73      61.38
447     24.46   72      59.97
454     25.05   73      61.80
465     25.01   72      61.73
463     24.92   73      61.78
470     26.22   72      60.48
411     22.46   72      58.10
408     23.69   72      55.90
405     23.53   72      55.76
408     24.03   72      55.49
438     26.01   72      59.56
447     23.76   73      60.92
422     23.67   73      58.42
360     22.72   73      56.64
377     24.21   72      54.21
396     25.22   72      54.94
401     24.85   73      56.67
416     23.77   72      58.08
406     23.68   72      55.96
408     23.84   72      55.81
369     22.53   71      53.96
364     22.93   72      54.60
376     25.81   72      54.59
452     26.52   72      59.65
448     25.03   72      60.26
396     23.84   71      57.30
404     25.70   72      56.79
443     24.39   72      60.36
436     23.15   72      60.14
435     24.06   72      58.63
403     22.37   72      57.60
410     23.83   72      56.01
404     23.35   72      55.83
353     22.80   72      54.39
426     26.85   72      57.17
408     24.21   71      56.70
383     23.85   72      53.31
232     14.56   72      38.60
301     16.86   72      48.37
284     13.90   72      47.81
258     14.81   72      56.57
