Avg_MHz	Busy%	PkgTmp	PkgWatt
456	28.93	71	55.77
481	30.64	70	58.28
534	30.75	71	56.89
515	28.46	72	48.81
538	29.97	71	51.25
543	29.27	72	60.34
478	28.57	72	57.69
494	28.14	71	59.19
498	27.93	72	59.68
508	30.10	71	58.83
498	29.43	72	58.14
461	29.05	71	57.35
452	27.96	72	56.01
514	29.63	72	60.00
498	28.27	72	60.06
487	29.38	72	58.26
461	27.19	71	58.03
494	27.88	71	59.09
491	28.34	72	58.95
500	29.27	71	59.06
494	29.13	72	58.77
490	28.89	71	58.21
444	28.56	72	57.04
466	29.83	72	56.26
501	29.93	71	58.51
509	30.15	72	59.04
459	29.22	72	51.56
562	30.28	72	71.05
547	29.35	72	63.64
558	30.21	72	64.21
513	28.77	72	62.19
428	25.60	73	57.88
471	29.66	73	56.50
499	29.57	72	59.06
475	28.11	72	59.06
500	31.24	71	59.35
497	29.73	73	49.73
491	28.90	72	48.10
412	24.99	72	44.56
481	30.62	72	44.40
468	28.32	72	46.81
510	29.62	71	47.72
440	28.43	71	56.54
511	32.67	72	59.04
548	30.76	72	63.30
508	29.10	72	61.10
499	30.20	73	59.97
515	29.02	72	60.33
509	28.53	71	59.51
512	29.42	72	59.07
509	29.38	73	59.33
471	28.71	72	57.66
518	31.04	72	61.25
537	29.01	73	62.91
473	27.29	72	59.94
483	30.01	72	46.61
493	29.19	72	48.52
499	27.83	72	59.89
416	26.15	72	56.05
472	30.14	72	45.74
450	29.83	71	43.53
487	29.87	72	46.41
471	27.68	71	45.59
489	29.91	71	46.64
460	28.53	71	45.76
447	28.77	71	42.64
519	31.55	71	47.62
518	27.91	72	57.33
486	26.87	71	59.30
512	28.28	73	60.06
452	28.01	72	57.44
449	27.43	72	56.45
494	28.51	72	59.29
507	29.59	72	59.22
455	27.19	72	58.00
423	27.90	73	53.83
529	30.20	71	65.12
508	30.01	71	50.47
515	29.68	72	48.14
454	29.73	71	45.24
493	31.56	71	47.65
542	29.90	72	52.24
466	28.33	71	58.22
472	26.62	72	49.91
450	27.32	71	46.17
479	31.54	72	44.60
512	31.53	71	46.85
533	30.88	71	50.41
533	29.53	71	50.99
549	31.86	72	50.66
486	27.95	72	48.04
465	30.09	71	46.81
576	31.46	72	55.74
557	30.14	72	63.45
472	28.13	72	57.93
479	29.74	72	57.75
531	30.13	73	60.78
473	28.34	71	58.39
482	29.41	72	57.82
469	30.46	72	56.41
486	29.39	72	56.12
466	27.25	71	61.15
479	27.62	72	59.01
504	28.67	72	59.89
448	27.58	72	57.07
478	29.69	72	57.94
516	30.43	72	59.77
489	28.72	72	59.24
508	28.07	72	61.27
470	27.87	71	58.75
465	28.11	71	57.60
476	28.63	72	57.70
510	29.25	72	60.21
466	27.62	73	58.58
456	28.73	72	57.43
506	30.69	72	60.41
564	30.50	73	64.44
541	30.45	73	63.27
539	29.36	73	63.26
503	30.34	72	59.55
513	29.29	73	59.08
453	27.77	73	57.25
493	30.71	73	58.50
497	29.08	73	59.74
416	27.64	72	53.74
448	29.61	72	41.37
476	28.78	72	47.15
487	27.87	73	47.46
484	28.96	72	47.69
515	32.13	72	59.97
493	29.21	72	59.27
522	29.79	72	60.17
478	28.23	73	57.09
434	27.25	73	52.40
501	29.30	73	66.52
527	30.99	72	60.16
449	26.87	72	57.19
480	29.87	73	58.81
476	28.08	73	58.52
529	30.03	73	61.13
454	27.04	72	58.25
498	29.21	73	59.92
524	29.26	73	62.71
504	29.40	74	60.76
405	26.33	73	47.32
478	30.29	73	68.99
474	28.31	74	57.60
482	28.48	72	53.35
419	27.71	72	55.80
395	27.00	71	54.07
478	31.65	72	45.94
522	29.28	72	49.90
482	29.05	71	47.31
440	25.85	72	47.71
530	28.90	72	58.55
528	29.20	74	63.90
478	28.97	73	56.36
456	28.84	71	45.63
516	30.26	73	59.17
482	28.37	72	59.28
473	29.19	72	57.77
522	29.05	72	59.27
499	29.18	72	58.78
423	27.82	72	55.21
425	28.52	72	54.94
528	31.53	72	58.23
541	29.60	70	60.12
458	27.30	71	58.23
454	30.57	72	52.05
509	28.44	72	62.60
476	28.42	72	58.10
454	29.56	72	50.37
504	29.77	72	48.68
464	29.31	72	46.39
459	27.63	71	46.29
459	27.53	72	46.57
450	28.57	73	44.93
453	28.88	72	48.04
489	29.48	73	55.88
444	28.28	72	45.56
439	28.70	72	49.07
456	28.66	72	45.20
452	28.67	72	42.81
454	27.77	71	42.93
475	26.11	72	61.56
539	29.75	71	60.83
485	27.71	72	57.20
484	27.76	72	59.96
517	29.91	72	50.29
504	29.28	71	53.15
434	28.77	72	54.30
372	28.90	71	31.15
384	26.22	71	44.90
329	17.83	70	41.21
256	15.45	70	37.93
241	15.10	72	46.34
265	14.64	71	40.01
284	15.15	71	46.02
263	16.47	71	46.75
325	16.25	71	43.85
336	15.34	72	46.67
300	14.97	72	53.97
210	12.60	71	39.70
291	15.67	72	51.14
326	16.44	72	52.43
300	14.79	71	51.93
247	14.02	71	47.82
268	14.98	71	40.93
267	17.07	71	50.30
323	15.68	72	42.60
307	15.39	72	44.22
311	15.62	71	51.97
305	15.15	71	51.97
287	14.51	72	51.03
291	16.20	71	51.29
263	14.03	71	50.05
299	15.54	71	51.27
298	15.53	71	51.33
284	15.22	71	51.19
299	15.17	71	51.65
279	14.60	71	48.57
255	14.79	71	52.39
249	14.71	70	50.45
333	16.74	71	55.12
360	17.01	71	57.11
292	14.47	71	50.51
271	14.95	71	41.28
257	15.82	71	36.94
304	15.26	69	40.62
247	13.80	70	39.95
246	15.15	70	39.14
295	16.18	71	39.34
301	15.16	70	41.57
265	13.72	71	49.78
307	16.85	71	51.20
