Avg_MHz	Busy%	PkgTmp	PkgWatt
336	21.68	72	37.97
338	20.26	71	41.33
356	19.57	71	42.15
318	19.23	71	40.64
307	20.32	71	40.67
385	21.44	72	45.73
392	19.73	72	58.11
350	18.22	71	54.44
348	18.51	72	53.52
325	19.16	71	52.39
354	20.89	72	54.51
345	18.15	72	54.00
350	18.71	72	53.40
340	18.27	72	52.85
326	19.46	72	52.28
265	16.35	72	59.29
305	18.37	71	51.77
354	19.17	71	53.42
345	18.81	71	53.27
350	20.96	72	53.16
305	17.41	72	52.09
338	20.50	72	53.58
379	19.04	72	56.91
329	17.39	72	53.14
336	19.76	72	52.97
351	18.80	72	53.67
335	18.28	73	53.35
317	18.55	72	52.08
345	18.54	73	53.46
326	19.91	72	52.31
362	20.21	73	55.90
343	18.19	72	53.70
350	18.82	73	53.62
351	18.94	72	53.79
356	19.78	73	53.73
305	17.40	72	51.75
337	18.53	72	53.06
353	18.28	73	53.70
324	17.64	72	53.20
291	18.16	72	51.02
336	19.23	72	52.85
311	18.56	73	51.97
308	17.91	72	51.56
301	18.02	72	59.12
329	20.79	72	56.93
340	19.34	72	53.37
319	18.41	72	51.66
334	19.27	72	50.69
349	18.76	73	53.59
309	20.10	72	51.27
363	19.94	73	56.38
348	18.87	73	53.64
351	18.71	73	53.89
301	17.21	72	51.64
361	21.53	74	54.63
354	18.57	73	54.81
356	18.75	72	54.85
357	18.83	73	54.97
317	17.88	73	53.23
299	19.94	73	51.61
387	20.55	73	57.61
390	19.36	74	58.56
364	18.72	73	56.64
301	17.63	73	51.89
378	22.65	73	55.85
393	19.72	73	58.20
367	18.30	73	56.84
352	18.79	73	53.99
338	18.38	73	53.43
318	20.14	73	52.41
376	21.09	74	55.90
350	18.76	73	53.86
352	18.78	73	53.90
297	17.36	73	52.23
335	21.15	73	53.56
295	18.06	73	52.42
382	20.21	73	56.79
389	19.07	73	58.04
272	16.13	73	55.07
363	21.07	73	62.81
353	18.79	74	54.70
348	18.57	73	54.58
284	17.16	73	55.11
327	18.78	73	60.50
371	20.51	73	54.74
324	17.65	73	53.32
331	19.02	73	53.40
351	18.85	74	53.90
301	18.50	73	51.73
386	21.39	74	57.61
349	18.53	74	54.28
349	18.54	74	54.12
303	17.22	73	59.99
302	18.53	74	55.74
282	18.13	73	58.60
341	19.47	74	55.30
354	18.71	73	54.59
285	16.97	74	53.68
342	18.46	74	64.94
376	20.63	73	54.91
346	18.59	73	54.22
302	17.71	73	51.59
302	17.79	73	52.30
360	19.70	74	54.36
353	19.42	73	54.12
340	20.24	74	54.61
384	19.55	74	58.42
355	18.07	73	56.11
336	18.31	74	53.86
347	21.71	73	54.25
386	20.08	74	58.28
376	18.87	74	57.83
293	17.08	73	58.22
330	20.04	74	59.10
354	19.03	74	54.25
351	18.72	73	54.06
283	16.88	73	50.91
311	18.49	74	52.94
374	20.83	73	54.89
354	18.71	74	54.95
307	17.57	74	52.58
290	17.42	75	51.39
346	19.15	74	53.62
336	20.29	74	53.04
280	18.13	74	51.22
343	19.07	74	44.23
320	17.89	73	44.83
344	19.24	74	53.96
326	20.30	74	52.86
345	18.98	75	53.87
345	18.57	74	53.93
286	18.17	74	51.53
274	17.17	74	49.27
322	21.10	74	54.28
383	20.15	74	53.90
380	19.05	74	60.28
308	18.29	74	54.57
375	20.68	74	56.90
430	21.66	75	60.13
380	18.67	74	58.27
326	17.86	73	53.62
327	18.69	74	52.63
348	18.84	74	54.17
337	19.15	74	53.14
329	19.18	74	53.15
347	18.78	74	54.08
298	18.55	73	52.22
355	19.49	74	55.96
371	20.70	74	54.76
347	18.81	74	53.99
304	17.20	74	52.29
299	18.77	73	52.80
278	16.61	74	50.84
355	20.75	74	53.72
351	18.59	74	54.68
309	17.86	74	50.71
311	18.93	74	56.38
386	20.18	74	57.79
414	21.36	74	59.79
366	18.37	74	57.24
311	17.52	75	52.70
343	19.19	74	53.61
349	18.71	74	54.60
335	19.76	74	53.57
350	19.38	74	54.23
311	17.66	74	46.48
366	20.91	74	63.41
346	18.12	75	54.90
369	20.34	74	54.90
349	18.67	74	54.45
302	17.83	74	52.43
275	17.43	73	50.95
317	20.12	73	53.05
410	21.82	74	58.43
380	18.72	74	58.41
302	16.87	73	53.21
360	21.22	74	55.48
386	19.42	73	58.52
402	20.60	74	58.86
305	17.09	73	45.16
373	21.61	74	66.66
381	18.83	74	58.28
347	18.03	74	55.83
364	20.42	74	54.30
346	18.67	74	53.88
297	18.69	74	52.41
351	19.17	73	55.19
353	19.38	74	54.10
362	19.97	73	54.29
298	17.28	74	52.00
314	19.04	73	53.07
259	16.03	73	49.91
288	15.53	74	51.45
321	16.69	74	52.90
