Avg_MHz	Busy%	PkgTmp	PkgWatt
594	29.81	71	67.87
576	30.42	71	65.69
504	30.85	71	58.56
534	31.62	70	50.58
597	32.61	71	53.12
539	30.50	70	49.97
420	26.63	71	41.57
482	28.84	70	41.07
569	33.64	70	69.85
528	29.43	71	62.39
533	31.03	72	60.19
563	31.58	71	62.51
532	31.19	72	60.75
558	31.62	71	62.26
443	28.29	71	52.92
545	31.90	72	65.22
587	31.41	72	64.68
551	29.57	72	62.52
517	31.07	72	51.97
470	30.05	72	42.52
557	30.95	72	50.64
534	31.84	72	57.58
566	31.22	73	65.43
557	31.27	72	62.84
517	29.94	72	59.44
535	30.68	72	60.40
606	30.61	72	67.11
632	33.54	72	68.07
645	31.58	72	70.93
587	32.04	73	66.91
653	31.62	72	71.87
632	32.85	72	67.92
521	29.88	72	62.58
552	33.08	73	65.46
556	30.00	73	64.70
565	30.60	72	56.74
438	27.81	72	67.85
473	29.99	71	56.49
497	30.15	72	58.35
543	29.89	72	61.10
540	31.49	72	61.18
516	30.12	72	59.22
529	30.94	72	58.69
486	29.72	72	58.60
509	29.88	72	59.28
488	28.37	72	58.27
505	30.36	72	58.25
485	29.64	72	58.02
491	29.85	73	57.87
524	29.74	73	59.70
550	32.62	73	60.38
535	30.32	73	62.37
450	28.79	73	56.38
513	30.75	72	59.08
567	31.16	72	61.93
554	30.90	73	61.55
560	31.46	73	62.67
479	28.96	72	58.06
538	31.36	72	60.26
549	30.20	73	62.74
624	34.19	73	67.49
503	29.84	73	56.15
545	31.47	72	50.13
496	29.72	72	47.97
605	32.29	73	57.97
549	30.63	73	61.60
507	29.54	73	59.41
503	29.43	73	59.33
509	30.40	74	58.48
520	29.70	73	59.55
606	32.76	74	64.97
463	28.68	73	57.07
426	30.09	73	42.39
499	30.62	73	46.61
503	30.39	73	47.85
459	28.87	74	56.91
498	29.90	73	57.83
457	29.00	73	57.38
526	30.82	73	59.27
501	29.36	73	59.95
553	31.87	73	61.51
495	29.39	74	58.03
532	30.91	73	60.29
509	29.59	72	59.24
507	30.10	73	59.14
519	29.84	74	60.23
543	30.39	73	61.59
507	29.93	74	58.39
529	30.15	74	60.24
512	29.91	74	59.24
542	31.41	74	60.91
444	27.99	74	56.75
488	31.00	74	57.54
507	30.15	73	58.73
483	29.36	73	58.72
543	31.75	74	60.65
497	29.11	74	59.57
522	30.82	73	60.11
522	30.67	73	59.10
633	32.77	74	68.44
539	30.83	73	61.11
529	30.08	74	60.37
458	29.54	74	57.91
506	31.73	73	59.54
542	31.05	74	60.58
508	30.45	74	49.09
586	30.22	73	54.12
633	31.94	73	62.23
556	29.08	73	63.87
631	32.36	73	65.11
486	29.82	73	53.90
490	30.70	74	57.61
540	30.31	74	64.14
539	29.68	75	60.91
511	29.61	74	53.09
464	28.57	73	57.44
525	31.00	73	59.91
513	29.78	73	60.67
487	29.60	74	58.73
545	31.85	75	59.86
455	28.00	73	52.39
483	30.94	74	64.22
497	30.48	73	52.30
458	28.90	73	47.95
558	30.76	74	61.73
538	29.61	74	61.47
589	31.16	74	67.16
534	29.73	74	60.89
599	31.47	74	65.03
500	29.87	74	58.11
465	29.52	75	65.45
526	31.86	74	59.73
516	29.80	74	60.53
467	29.50	74	56.20
523	29.73	73	49.42
487	30.01	73	44.72
529	30.21	74	48.68
544	30.64	74	50.73
616	32.74	73	59.99
589	30.44	73	63.64
513	29.18	73	49.44
565	30.79	74	58.38
530	29.73	74	61.30
609	31.79	73	65.34
575	29.98	73	66.32
558	29.72	73	53.99
540	29.75	73	47.88
614	31.65	73	66.60
574	28.84	73	66.28
541	30.72	73	59.77
622	33.42	73	54.40
628	31.92	74	68.34
554	29.33	74	63.69
542	29.50	74	61.55
502	29.34	73	59.87
581	32.25	73	64.57
597	31.13	74	65.67
600	29.83	73	66.18
609	30.83	74	65.73
537	30.44	73	62.11
504	29.89	73	59.44
566	31.64	74	61.61
589	31.49	73	65.53
597	31.43	73	63.31
543	30.38	73	63.08
572	30.90	73	62.81
518	29.36	72	60.65
595	31.11	73	64.83
547	29.90	72	62.13
518	31.08	73	58.71
535	30.84	73	59.95
552	31.01	73	61.67
589	31.01	73	64.07
566	29.00	73	65.06
572	30.27	73	63.69
578	29.48	72	62.81
646	32.52	72	69.84
679	32.62	73	70.34
664	32.23	72	68.12
509	28.07	73	60.53
553	31.52	73	60.72
553	30.74	72	61.58
583	30.64	73	63.41
518	29.39	73	61.68
538	30.11	72	59.89
511	29.73	73	61.70
592	31.16	73	64.53
574	30.42	73	63.70
364	20.64	73	59.67
268	15.59	73	51.66
287	16.16	73	51.03
