Avg_MHz	Busy%	PkgTmp	PkgWatt
361	20.34	70	53.72
360	21.39	70	53.51
377	21.08	71	54.31
379	20.90	70	54.43
344	20.26	71	53.77
355	21.57	70	50.03
378	22.38	71	61.04
449	23.32	71	59.95
314	19.00	71	53.14
355	21.39	72	53.12
346	20.48	71	53.23
359	23.78	70	48.96
358	20.08	71	61.27
407	22.17	71	55.10
433	22.17	70	62.53
304	18.66	70	52.68
296	19.33	70	51.43
390	22.86	72	54.39
384	21.49	71	54.70
367	20.71	70	54.08
319	20.56	71	51.68
371	21.99	71	53.46
381	21.15	72	54.27
354	20.18	71	53.96
333	20.25	70	52.29
322	19.73	70	51.73
381	21.54	71	54.77
373	21.59	71	53.98
360	21.58	72	53.90
375	20.75	72	54.42
349	20.98	72	52.85
313	20.00	71	51.46
326	21.69	71	44.29
356	20.90	71	45.06
360	20.65	70	42.03
298	18.91	71	45.15
327	20.40	71	52.17
396	22.70	72	54.86
384	21.47	71	54.61
361	20.62	71	53.56
346	22.48	71	53.15
412	22.07	71	58.30
414	21.03	71	59.21
396	20.77	72	57.59
354	20.37	71	53.58
351	21.96	71	54.22
420	22.18	72	58.28
410	22.22	72	57.48
382	21.52	73	54.51
361	20.12	71	53.55
358	21.21	71	53.49
350	21.01	72	53.65
392	22.40	72	56.51
413	21.22	71	59.02
397	20.44	71	56.90
318	19.26	71	52.78
387	23.47	72	56.60
404	22.91	72	58.10
398	21.82	72	55.78
337	20.02	71	41.61
380	22.20	72	42.53
378	21.24	71	42.87
378	20.75	72	53.89
343	20.77	72	53.16
341	20.23	71	56.39
385	23.34	72	55.63
420	21.74	72	59.09
331	20.61	72	53.83
407	24.31	72	57.16
387	20.15	72	57.24
395	21.87	73	55.26
318	20.05	73	52.78
395	22.99	72	57.23
414	21.39	72	59.48
387	19.93	72	56.96
293	18.97	72	52.11
379	22.22	73	55.45
429	22.26	72	59.51
416	21.42	72	59.37
370	20.44	72	55.21
389	21.32	72	55.57
387	21.45	73	55.33
375	20.72	72	54.81
339	19.98	72	53.07
327	19.53	72	52.09
372	21.10	73	54.62
369	20.34	73	54.91
349	20.87	72	53.45
377	21.21	73	54.25
340	19.75	72	53.02
364	21.01	72	54.54
348	20.88	73	53.31
378	21.20	73	54.23
359	20.50	72	54.39
295	19.07	72	51.89
299	21.52	72	42.84
389	21.91	72	46.13
424	22.54	73	48.96
402	20.48	73	59.03
372	20.42	72	56.11
357	20.97	72	49.79
378	21.66	72	43.44
344	19.67	71	50.72
295	19.11	72	51.24
302	19.38	72	50.59
372	21.33	73	54.68
360	20.40	73	54.34
398	23.75	72	56.44
412	20.99	72	58.90
388	21.16	71	55.86
345	19.84	72	53.31
314	20.49	73	51.40
369	21.04	73	54.18
364	20.26	72	54.00
296	18.02	71	51.35
311	19.46	73	52.13
370	21.00	72	54.29
378	21.31	73	54.00
375	20.93	73	55.56
342	20.32	72	53.24
374	21.15	72	54.25
369	21.57	72	54.52
326	19.96	72	46.01
324	19.99	72	40.57
327	21.06	72	48.92
404	21.96	73	57.93
386	19.95	73	57.63
363	20.78	73	54.26
342	21.37	72	50.01
311	21.02	72	36.17
307	20.64	72	37.00
344	22.71	72	40.02
358	20.68	72	42.82
345	19.85	72	45.48
293	18.44	72	51.01
335	20.45	72	52.87
364	20.61	72	53.73
375	21.16	72	54.73
358	21.20	72	50.72
365	21.49	71	56.86
351	21.30	72	53.63
383	21.68	72	44.82
333	20.30	72	46.05
328	19.58	72	52.87
375	22.95	72	55.19
414	21.35	72	58.72
378	19.81	73	56.39
379	21.03	73	54.91
357	20.46	72	53.82
364	21.47	72	53.57
305	19.49	73	51.95
360	21.54	73	53.65
358	20.18	73	51.26
330	19.36	73	46.68
299	20.39	72	51.74
392	22.95	72	57.30
417	21.29	73	59.97
411	20.86	72	59.56
348	20.27	72	55.03
356	22.96	73	53.84
411	21.80	73	58.81
433	22.56	73	59.75
374	19.74	73	56.00
329	19.92	71	52.92
390	23.31	72	56.11
414	21.47	72	59.10
376	19.90	72	56.03
376	20.73	73	54.71
346	20.78	73	53.71
375	22.87	73	55.32
360	19.29	73	55.06
392	22.11	73	55.06
372	20.39	73	54.59
305	18.75	72	52.25
320	21.48	72	52.03
403	22.60	73	57.95
412	21.04	73	59.38
411	20.92	73	59.34
401	21.09	73	57.47
378	20.64	72	54.89
375	20.75	73	54.60
359	21.13	72	53.88
303	19.97	73	47.80
351	22.16	73	59.25
415	21.89	73	58.92
342	19.10	72	55.91
370	21.90	73	55.45
404	21.60	72	58.16
370	20.13	73	55.02
309	19.52	73	51.74
354	21.25	74	53.73
378	21.06	74	55.30
282	14.65	73	51.60
234	14.12	72	49.63
322	17.60	73	54.33
343	15.54	73	56.91
312	15.36	74	55.97
293	14.70	73	52.98
262	15.49	73	39.02
280	15.92	72	39.66
310	15.99	72	41.23
247	14.50	72	44.08
