Avg_MHz	Busy%	PkgTmp	PkgWatt
400	24.18	73	43.74
384	23.86	73	54.70
418	24.42	73	55.95
409	23.55	72	55.86
381	23.78	73	55.56
440	24.63	73	58.93
410	23.12	73	56.39
393	23.37	72	48.44
399	25.97	73	64.82
455	25.01	73	60.41
436	23.36	73	59.29
394	23.85	73	55.50
397	25.87	74	55.63
448	24.29	73	60.37
459	24.51	73	61.11
437	24.41	73	58.63
418	24.47	73	56.21
437	25.51	73	56.62
418	24.04	73	56.19
411	24.24	73	55.76
368	23.30	73	54.51
426	26.56	73	57.06
470	25.75	73	60.77
432	23.45	73	59.50
412	23.55	74	56.35
364	22.97	73	53.91
414	26.00	73	57.09
398	23.89	74	57.27
404	25.25	73	56.67
440	24.46	74	57.95
411	22.94	73	60.01
371	23.22	73	54.99
406	25.51	73	56.45
446	24.46	74	60.43
448	23.93	73	60.46
435	24.24	74	59.36
444	23.96	73	60.78
457	24.67	74	60.96
441	23.73	74	60.45
423	23.82	73	58.12
391	23.76	73	55.04
424	25.00	73	56.15
431	25.21	73	56.63
365	22.59	73	54.54
392	23.93	73	54.99
355	23.96	73	54.13
446	25.93	74	59.20
426	24.63	73	57.74
365	22.99	74	54.16
397	23.46	74	55.47
340	23.10	73	47.17
342	24.28	73	36.29
400	24.65	73	43.77
389	23.21	73	44.38
349	22.89	73	42.06
385	24.65	73	42.34
383	23.51	73	44.74
403	25.24	73	44.67
381	24.06	73	43.20
325	22.13	72	34.92
418	24.54	73	49.12
422	25.21	73	44.38
363	23.23	73	50.08
376	23.97	73	43.80
392	23.43	73	45.76
391	24.40	73	44.54
386	23.72	73	43.78
385	25.85	73	41.56
406	24.09	73	43.85
361	22.72	73	42.66
386	24.01	73	55.74
397	23.29	73	55.67
386	23.14	73	55.48
392	23.15	73	51.40
340	22.39	74	45.72
399	24.43	73	44.14
397	23.33	73	44.52
421	24.57	73	56.22
394	22.66	73	55.52
353	21.85	72	54.42
415	25.11	74	56.65
449	24.68	73	60.17
410	23.31	74	56.33
397	23.03	74	44.38
337	22.39	73	43.21
440	26.67	73	58.37
430	23.24	74	59.43
430	25.06	73	56.97
406	23.32	73	56.07
370	22.38	73	54.19
371	22.60	74	54.92
406	24.51	74	55.54
420	24.38	73	56.50
383	22.71	73	50.79
406	23.04	74	61.98
424	24.60	74	56.86
404	23.05	73	56.30
425	24.92	74	56.54
380	23.09	73	47.44
415	24.00	73	66.29
404	22.72	74	56.43
408	24.01	73	56.36
388	23.02	73	55.48
357	21.56	73	54.49
413	24.41	74	56.52
393	23.13	73	56.47
448	26.66	73	59.30
452	24.12	73	61.33
422	22.24	73	59.61
365	21.86	73	55.15
358	23.13	74	53.78
427	25.40	73	56.82
404	23.04	74	56.48
393	23.46	74	55.50
410	23.76	74	56.53
403	23.01	73	56.02
421	24.56	74	56.59
393	22.79	73	55.80
378	22.78	73	55.00
403	23.26	74	56.37
409	23.09	74	57.02
409	24.75	74	57.32
436	24.98	75	59.46
413	22.13	74	58.08
420	24.00	74	57.20
352	21.55	73	54.64
376	24.07	74	54.18
417	24.39	74	56.44
369	22.01	74	54.65
390	23.83	74	56.29
434	24.65	74	59.72
460	24.86	73	61.57
453	24.16	74	61.96
410	22.25	74	58.29
409	23.16	75	57.18
406	22.98	74	57.14
406	23.26	74	56.07
408	24.40	74	55.81
359	22.38	73	55.43
436	25.01	73	59.22
454	23.49	74	61.74
431	23.48	74	59.42
393	22.74	74	52.21
380	22.64	74	59.50
425	24.74	74	56.86
365	22.51	74	54.68
385	24.03	74	52.36
405	24.49	74	59.80
440	24.47	74	59.75
338	21.46	74	55.36
415	24.83	74	58.27
459	24.81	74	61.44
445	23.46	74	61.57
444	23.65	74	61.20
452	24.07	74	61.52
463	24.94	73	61.81
450	23.99	74	61.24
460	24.76	74	61.39
447	23.82	74	61.63
445	23.57	74	61.46
449	24.24	74	61.10
414	23.28	74	57.48
415	24.03	74	56.39
404	23.14	74	56.03
419	24.56	73	53.89
434	25.62	73	61.90
477	26.55	74	60.84
422	23.07	73	58.69
414	24.51	73	51.10
441	24.57	73	66.95
446	23.44	73	61.38
362	22.76	73	51.57
383	22.05	73	62.56
391	23.79	73	55.01
410	23.79	74	56.10
407	23.45	73	56.02
418	24.81	73	55.97
379	22.65	73	54.89
409	23.16	73	55.89
408	23.13	73	56.33
370	22.38	73	54.63
405	24.11	72	55.74
377	22.60	73	54.89
409	23.68	74	55.97
409	25.87	73	56.49
451	24.18	73	60.63
463	24.64	73	60.66
411	22.75	72	58.10
324	21.58	72	52.47
389	23.51	73	54.94
409	23.13	73	55.89
400	23.64	72	55.64
404	23.22	73	56.19
364	19.88	72	54.85
310	15.50	72	52.81
296	14.67	72	52.25
276	14.83	72	45.83
325	17.39	72	61.20
325	15.66	72	56.10
320	15.15	73	55.46
287	15.34	72	48.30
246	15.64	71	34.90
292	15.77	72	39.64
256	14.83	72	37.53
263	16.06	72	37.40
283	14.92	71	39.67
245	15.50	71	35.38
245	14.94	71	35.49
271	15.89	70	40.37
339	15.96	72	50.91
343	15.25	72	56.59
341	16.19	71	55.86
