Avg_MHz	Busy%	PkgTmp	PkgWatt
340	16.15	71	60.57
340	15.59	71	56.74
342	15.76	70	56.72
438	23.34	70	59.36
434	23.39	71	59.90
434	23.45	70	59.94
432	23.80	71	59.87
371	21.74	69	52.94
407	24.00	70	44.47
391	22.70	69	44.15
392	22.84	69	44.08
416	26.09	70	45.18
433	23.67	69	55.08
454	24.62	71	60.27
432	23.19	71	59.79
429	24.43	71	58.97
433	24.07	72	59.01
416	23.09	71	57.42
410	23.91	71	55.43
394	22.70	71	55.32
404	23.25	71	55.10
371	21.64	71	54.25
358	23.45	71	54.00
405	25.34	70	56.16
442	24.89	71	59.28
421	22.25	71	59.26
401	22.35	71	57.18
374	22.66	71	55.03
420	23.40	71	57.45
424	23.85	71	58.63
375	21.35	72	56.81
404	23.14	71	56.83
399	23.10	71	47.68
421	24.61	71	55.50
396	23.21	71	54.82
349	22.90	71	53.13
389	23.50	70	55.40
410	24.21	71	55.03
412	23.89	71	54.97
411	24.02	72	55.43
406	23.30	71	55.17
408	23.32	72	55.27
395	22.99	71	55.03
419	25.79	72	56.48
443	24.02	72	59.99
437	23.33	71	59.55
401	21.86	72	57.78
413	24.12	72	57.24
437	23.72	72	59.11
436	23.29	72	59.96
427	22.74	72	59.26
412	22.14	72	57.72
398	22.61	72	55.16
412	23.94	71	54.88
380	22.86	72	54.63
362	23.89	72	53.83
380	21.52	71	55.33
418	23.96	71	55.03
382	22.56	72	54.96
383	24.69	71	54.90
442	24.07	71	60.04
368	20.73	71	56.59
399	24.37	72	55.39
412	23.47	72	55.56
416	24.00	73	55.82
400	22.77	73	55.02
362	21.39	72	54.11
389	23.70	72	54.32
411	23.70	72	55.24
393	22.32	72	54.95
388	22.39	73	54.83
359	22.10	73	52.99
395	23.20	72	54.64
411	22.98	72	55.62
387	22.95	72	55.08
360	22.23	72	47.70
358	23.30	72	61.36
442	24.94	72	58.98
408	22.43	73	56.82
394	22.38	73	54.82
382	22.04	73	52.99
369	22.60	72	55.10
362	23.25	72	53.79
436	24.34	72	58.43
432	23.33	72	59.51
414	22.42	72	57.90
399	23.35	72	57.25
443	24.32	72	59.81
444	23.69	73	60.01
428	22.93	72	59.19
388	21.28	73	56.05
383	22.46	73	54.99
400	22.62	73	55.64
419	24.33	73	56.01
374	22.95	72	54.09
365	21.89	73	53.26
393	23.16	72	54.80
402	23.13	72	55.92
369	22.52	72	53.92
401	22.85	72	55.46
367	21.57	72	54.09
368	22.60	72	53.68
366	22.89	72	53.04
416	24.29	72	55.25
416	23.65	73	56.54
361	21.55	72	53.70
369	22.81	73	53.79
401	23.16	73	55.38
403	23.39	73	55.50
386	22.16	73	54.99
375	22.25	73	54.17
394	23.32	73	54.99
400	22.84	73	55.29
393	22.91	72	54.82
384	23.34	74	54.98
351	21.33	73	52.57
400	23.65	73	55.54
401	23.30	73	55.58
375	22.79	72	54.04
398	22.74	73	55.41
360	21.46	73	53.31
361	22.15	72	53.89
371	22.99	73	54.30
403	23.08	73	55.53
410	23.78	73	55.60
355	21.50	73	53.51
380	22.44	74	54.52
403	23.26	73	55.35
409	23.51	73	55.79
396	22.80	74	55.53
360	21.34	73	53.75
401	23.44	73	55.50
400	22.90	73	55.91
368	22.83	73	53.94
412	27.02	72	55.80
334	20.77	73	54.01
418	25.30	73	57.64
365	21.55	73	56.05
371	23.71	73	53.59
408	23.74	73	55.91
339	21.59	74	53.28
365	22.88	73	54.73
384	22.54	73	54.97
404	23.22	74	55.46
388	23.34	73	49.69
372	22.62	73	60.72
400	23.18	73	55.42
401	23.07	73	55.53
397	22.71	73	55.51
382	22.42	73	55.22
338	22.49	73	52.93
434	24.25	73	59.29
439	23.17	74	60.32
409	22.44	74	57.44
391	23.23	73	54.56
380	23.11	73	55.02
400	22.84	73	55.34
355	21.79	74	53.57
406	23.62	74	55.59
389	22.53	73	54.93
383	23.35	74	54.51
342	21.51	74	53.13
392	22.80	74	55.31
404	23.13	74	55.67
379	23.10	73	54.73
408	25.73	74	56.37
435	23.46	73	59.88
443	23.57	74	60.44
443	23.81	73	60.44
401	22.39	73	56.60
379	22.37	74	54.60
394	22.31	73	55.25
393	22.52	73	55.21
372	22.87	73	54.70
380	23.01	73	54.30
382	22.81	73	55.13
393	22.67	73	55.35
360	22.47	73	53.64
407	23.80	73	55.77
374	22.39	73	54.09
350	22.54	73	54.70
382	22.59	74	54.98
393	22.46	73	55.39
401	22.94	74	55.74
371	22.97	74	54.48
384	23.49	73	55.00
377	23.09	74	54.21
387	22.26	74	53.72
334	22.01	74	46.44
366	24.04	74	55.32
439	24.82	73	59.60
436	23.49	73	60.10
399	22.20	73	58.27
382	23.16	73	49.75
413	24.52	73	44.72
398	23.00	73	51.15
402	24.72	74	50.01
441	24.09	73	68.06
409	22.48	73	57.39
404	22.91	73	56.38
278	15.22	74	51.64
261	15.30	73	50.84
269	15.42	73	50.43
243	14.66	73	35.05
296	18.34	73	41.46
329	15.58	74	44.88
336	15.36	73	46.40
334	15.16	73	56.89
277	14.59	73	52.56
287	15.93	73	47.05
300	15.17	73	42.50
299	14.90	74	51.66
268	14.63	73	51.02
271	14.26	73	50.20
305	16.62	73	52.32
298	14.94	74	51.76
286	16.01	73	52.54
339	16.19	74	56.49
338	15.60	73	56.16
300	15.06	73	52.88
