Avg_MHz	Busy%	PkgTmp	PkgWatt
358	20.85	72	53.50
352	19.37	72	53.57
310	18.01	71	52.21
271	17.60	71	50.28
343	19.55	73	52.97
350	19.03	72	53.45
347	18.75	71	53.46
308	17.54	72	50.34
381	21.70	72	55.79
347	18.68	71	53.74
356	19.39	72	53.92
333	19.82	72	54.05
353	18.44	72	55.57
341	18.23	71	52.94
341	18.23	71	53.02
285	17.76	71	51.55
372	19.85	72	56.44
346	17.40	72	55.38
335	19.09	72	52.82
317	18.21	72	51.63
348	18.41	71	53.17
299	16.94	71	53.76
284	16.77	72	61.56
336	18.48	71	53.03
338	18.04	71	53.04
334	18.00	70	53.20
305	17.08	70	51.63
360	20.67	71	53.46
352	18.68	71	53.93
347	18.59	71	53.78
312	17.29	71	52.31
298	16.86	71	51.40
332	18.58	72	52.53
335	18.03	71	53.42
335	19.61	71	54.19
377	18.75	71	57.46
360	17.52	72	55.87
329	19.59	71	52.51
321	18.77	71	56.84
341	18.81	71	51.64
290	17.82	71	56.20
259	16.27	70	50.18
318	18.53	71	51.03
337	18.03	71	55.36
338	17.73	71	52.88
302	17.15	70	59.16
339	19.97	69	56.04
408	21.39	70	57.82
380	18.69	71	57.48
359	18.07	71	55.24
295	16.58	70	59.50
343	20.38	70	56.08
375	18.88	71	57.10
341	17.19	72	54.25
340	17.84	71	52.83
310	16.98	70	51.67
355	19.73	71	52.76
340	19.67	71	52.53
345	18.24	71	53.00
352	18.78	70	53.16
304	16.92	70	51.21
285	18.25	70	51.04
371	19.86	70	56.21
378	18.79	70	57.53
379	18.52	70	57.70
304	16.42	70	52.55
358	20.66	71	54.74
405	20.19	71	57.90
385	18.90	70	57.78
350	18.00	71	54.16
292	16.97	70	51.11
352	20.27	70	54.58
371	18.56	71	56.35
309	17.37	70	51.31
334	18.31	70	51.58
336	18.25	69	52.90
327	18.56	70	52.36
362	20.76	70	53.47
336	17.86	70	53.07
342	18.55	70	52.97
258	15.71	70	59.94
309	18.19	70	51.42
337	17.87	71	52.97
337	17.86	70	53.04
295	16.82	70	57.06
341	20.24	70	59.23
397	20.71	71	57.84
389	19.85	70	57.82
345	17.51	71	55.05
318	17.76	70	51.46
288	18.21	70	57.39
330	18.15	70	51.85
308	17.69	70	55.14
334	17.91	71	52.92
291	16.66	69	50.31
307	20.04	69	53.36
352	19.11	70	52.98
349	19.20	70	56.47
333	17.61	71	52.93
310	17.44	70	51.60
265	16.53	70	50.34
340	18.84	70	53.08
335	17.67	70	53.13
304	17.63	71	51.76
278	17.12	69	57.57
337	18.78	70	51.48
345	18.67	71	59.57
332	18.53	70	53.05
293	17.29	71	52.32
365	19.37	69	66.95
308	17.91	70	52.44
271	17.47	70	51.91
325	18.25	71	51.27
299	17.08	70	50.47
326	18.43	71	51.33
311	17.99	71	51.80
363	20.37	70	53.54
349	18.72	71	53.16
318	17.59	70	51.88
262	16.43	70	59.79
337	18.61	70	52.89
338	17.97	70	52.98
330	17.74	69	52.79
303	17.08	70	51.58
331	18.51	70	52.42
346	18.61	71	53.71
357	19.74	71	53.76
346	20.79	70	54.23
363	18.69	71	55.61
342	17.91	71	53.29
313	17.15	70	52.18
346	20.67	70	54.08
379	19.17	70	57.67
292	16.78	71	52.68
323	18.03	70	54.58
348	20.27	71	54.40
402	20.81	71	58.06
380	18.56	71	58.13
307	17.47	70	53.11
314	20.43	71	52.89
377	19.12	71	56.35
381	18.63	71	51.99
363	18.65	70	57.25
337	18.10	70	53.23
345	18.26	70	53.14
352	18.84	71	53.77
329	19.26	71	52.77
345	20.28	71	53.41
335	17.89	70	53.65
311	18.06	71	51.97
287	16.84	71	51.34
339	19.73	71	53.46
366	18.22	71	57.27
309	17.40	70	52.66
277	16.75	71	53.11
321	19.14	71	51.86
354	19.38	71	53.43
313	17.64	71	56.43
285	16.92	70	58.24
336	18.59	71	52.92
337	17.95	70	53.05
329	17.64	70	52.10
314	17.23	71	52.89
332	18.31	70	52.60
346	18.45	70	53.36
363	19.21	71	53.83
343	19.57	71	52.97
312	17.31	71	51.67
353	19.48	71	53.38
343	18.37	71	53.64
318	17.88	71	52.38
339	18.00	71	53.22
310	17.16	70	51.80
322	17.92	71	52.11
322	18.17	70	52.74
348	19.13	71	53.41
361	19.77	71	53.89
280	16.80	70	51.04
331	20.71	70	53.47
386	19.60	71	58.06
384	18.80	70	58.49
348	18.54	70	52.28
313	17.70	71	57.81
338	18.29	72	52.89
344	18.42	71	53.21
313	17.78	70	52.38
346	20.92	70	53.95
328	17.53	71	53.36
347	18.86	70	53.35
288	16.55	70	51.60
307	17.73	70	51.70
269	14.23	70	53.96
312	15.51	70	61.24
268	14.51	71	50.67
