Avg_MHz	Busy%	PkgTmp	PkgWatt
339	17.75	70	42.33
327	17.07	71	50.64
327	17.09	71	52.58
260	16.16	71	49.82
313	20.57	70	40.11
373	19.01	70	45.50
365	17.48	71	55.81
348	16.82	71	55.47
328	16.78	71	53.46
315	17.11	71	51.99
315	18.57	72	50.30
300	16.73	71	40.37
274	18.25	70	39.60
274	16.47	70	40.51
377	20.66	72	56.02
295	16.48	70	53.49
329	19.79	70	42.64
279	15.26	71	52.31
336	19.59	71	53.49
276	16.05	71	51.43
314	17.63	71	51.49
329	17.04	71	52.56
296	16.02	72	51.48
267	16.32	71	49.80
349	19.77	71	52.63
309	16.89	71	51.72
308	16.90	71	51.31
259	16.00	71	48.92
336	19.28	71	50.08
351	18.56	71	55.85
370	17.95	71	47.95
332	16.24	70	48.93
289	15.84	71	51.34
305	18.28	71	51.81
394	20.03	72	57.36
337	16.42	72	54.55
329	16.89	72	52.66
284	15.78	71	50.43
335	17.89	71	52.82
288	16.92	72	50.77
336	18.10	71	52.66
326	16.79	71	52.44
287	15.87	71	51.37
278	16.33	71	50.01
349	18.95	71	53.00
335	17.47	70	52.76
320	16.65	71	51.82
255	15.39	71	49.72
323	17.64	71	51.97
334	17.29	70	52.89
343	18.10	70	53.07
289	17.06	70	51.46
321	16.95	71	53.13
324	16.79	72	52.29
324	17.45	70	50.56
277	17.50	71	52.79
349	18.07	70	54.94
329	16.34	72	53.32
302	16.14	70	51.45
287	18.08	71	51.41
372	18.98	71	56.42
367	17.26	71	57.35
304	15.34	70	52.89
275	16.01	71	50.15
345	18.69	71	52.82
333	17.28	71	52.70
296	15.99	71	50.98
307	16.86	70	51.21
324	16.55	71	52.35
332	17.12	71	52.41
284	15.78	70	51.24
294	17.50	71	51.29
307	16.57	72	51.56
325	16.58	70	52.36
284	17.49	71	50.81
328	18.99	71	53.69
274	15.01	71	52.30
325	18.90	70	53.41
250	14.30	70	50.56
326	18.53	72	51.90
325	16.68	72	52.47
290	15.59	71	51.43
261	15.70	71	49.72
317	17.00	71	52.01
345	18.30	72	53.01
327	16.82	71	52.64
294	16.91	71	51.64
359	18.11	71	56.23
362	17.27	72	57.15
374	18.16	71	57.28
333	16.31	71	54.36
282	15.41	71	50.62
295	17.93	71	51.90
360	18.04	72	56.53
345	17.35	72	54.44
332	17.12	73	52.76
242	15.41	71	48.64
299	17.26	71	50.73
268	16.14	71	44.26
300	16.97	72	50.66
302	18.41	71	52.41
359	18.15	71	55.82
259	16.26	69	50.96
340	18.90	71	55.00
374	18.73	71	57.29
374	18.40	71	57.49
393	20.64	71	56.84
430	20.08	72	59.09
413	19.04	71	58.90
422	19.54	71	59.27
335	16.53	71	53.73
325	16.57	71	52.37
325	16.60	70	52.30
323	16.56	70	52.09
340	18.25	71	52.87
332	17.20	71	52.57
321	16.31	70	52.28
321	16.65	70	50.47
346	19.14	70	56.82
372	18.22	70	57.22
370	17.90	69	57.36
344	17.20	70	52.84
329	18.08	71	59.23
349	17.27	70	56.86
258	15.17	70	43.22
309	17.39	70	61.41
242	15.25	70	48.79
314	17.01	71	52.05
323	16.46	71	52.43
268	16.41	71	49.67
299	17.50	71	53.25
311	16.52	70	51.87
324	16.52	71	52.26
257	14.95	70	50.70
354	20.83	72	54.63
331	16.01	71	54.78
322	16.39	70	52.44
237	14.15	71	49.57
298	16.73	71	51.63
330	17.36	71	53.08
325	16.92	72	52.50
315	16.28	71	52.82
320	16.41	71	52.23
322	16.49	72	52.82
336	17.82	71	52.65
273	16.05	71	49.18
360	18.92	71	57.09
365	17.37	72	56.90
368	17.52	71	57.30
345	19.12	71	55.38
297	16.24	70	47.80
326	18.31	70	60.75
296	15.13	72	53.79
340	20.18	71	53.69
337	16.42	71	54.97
323	16.45	71	52.27
257	14.62	71	50.45
321	18.63	71	53.35
336	17.75	72	55.79
343	17.14	72	55.46
282	15.42	71	50.07
348	18.30	71	54.62
359	16.98	72	56.97
361	17.21	72	57.08
344	17.16	71	54.52
321	16.38	71	52.45
321	16.51	70	52.26
321	16.46	72	52.26
255	15.65	71	49.44
261	15.67	72	48.04
257	16.02	71	51.28
295	16.81	71	50.78
265	15.73	71	48.38
320	17.01	71	48.38
276	16.82	70	50.69
338	18.52	71	54.85
315	16.17	71	53.19
318	16.22	71	52.50
325	16.74	71	52.80
284	15.80	72	51.58
275	15.91	72	50.41
318	16.59	72	52.57
300	16.18	71	51.81
281	15.77	72	50.92
284	18.65	71	45.82
349	18.05	71	52.81
357	16.88	71	56.96
354	16.80	72	56.74
323	15.92	72	53.63
278	15.94	71	50.97
296	18.00	72	51.75
340	16.48	71	55.84
294	14.79	72	51.94
250	14.45	72	46.89
275	17.30	71	43.55
318	15.96	71	48.84
303	14.59	71	52.27
303	14.98	72	51.79
310	15.59	72	52.02
257	14.24	71	49.75
278	15.16	71	50.16
303	15.02	72	52.05
302	14.97	71	51.81
274	14.14	71	50.19
316	18.87	72	52.50
337	16.18	71	56.02
339	15.76	72	56.47
322	14.85	72	55.33
309	15.15	72	52.59
237	14.31	71	49.43
317	17.35	72	53.56
321	14.79	71	55.13
301	14.66	71	52.30
267	13.87	71	50.43
295	18.15	72	51.67
314	15.37	72	54.27
299	14.68	71	52.12
301	14.92	72	51.83
