Avg_MHz	Busy%	PkgTmp	PkgWatt
385	20.26	72	56.67
345	19.49	71	53.14
357	19.70	71	53.42
334	19.29	71	52.60
294	19.28	71	47.81
362	21.60	71	41.99
370	19.50	70	45.75
362	19.48	71	53.65
293	17.59	71	50.76
352	21.33	72	52.88
354	20.02	71	52.95
345	20.36	72	52.59
309	18.16	72	51.67
356	20.02	72	52.95
351	18.92	71	53.71
350	18.86	70	53.35
340	18.48	72	52.96
348	18.69	72	53.28
344	18.40	71	53.24
361	19.74	72	53.50
329	18.91	71	52.48
333	18.98	71	52.05
345	18.39	72	53.22
343	18.15	71	52.89
310	18.80	72	52.40
372	20.04	72	55.91
336	17.10	71	53.54
341	17.99	71	52.98
271	16.94	71	50.17
367	21.14	72	55.43
372	18.82	71	56.29
351	18.60	71	53.91
225	15.89	70	46.11
321	18.74	71	40.57
338	18.08	72	43.54
312	17.75	72	51.48
303	18.25	72	43.83
313	18.13	71	41.48
334	18.00	71	41.25
341	18.70	71	43.53
309	17.39	71	51.59
308	19.33	71	51.40
340	18.76	72	46.06
316	18.09	71	40.34
301	19.15	71	37.58
351	18.13	71	44.02
330	17.52	71	41.47
317	17.21	70	44.14
255	17.12	71	50.17
369	20.76	71	46.33
355	17.61	71	55.40
322	18.75	71	52.65
267	20.07	70	44.23
376	19.75	70	45.25
390	18.77	71	50.83
355	17.68	71	56.75
305	17.77	71	50.51
333	18.01	71	41.41
331	17.67	71	47.23
340	18.68	71	52.93
270	16.90	71	49.78
316	20.25	71	39.04
319	18.93	71	40.60
314	18.42	71	40.79
333	20.22	70	42.37
327	17.00	70	54.98
314	18.57	70	52.24
329	17.57	71	54.63
290	18.03	70	50.93
384	20.14	71	57.12
324	17.85	70	46.90
263	17.06	71	60.16
331	20.67	71	52.32
380	19.11	72	56.98
384	18.44	72	58.11
372	18.36	71	57.51
385	18.53	72	58.34
384	18.38	71	58.59
386	18.51	71	58.52
319	17.58	71	45.48
361	21.27	71	66.62
394	19.53	71	57.70
333	16.91	71	55.55
294	18.67	71	51.41
321	17.55	70	53.79
323	19.16	71	52.74
308	17.09	72	53.50
346	20.52	71	53.69
325	17.51	72	45.34
318	19.25	71	65.40
271	16.92	72	49.97
350	19.06	71	53.14
345	17.81	72	53.48
312	16.97	72	51.66
330	18.19	72	52.33
341	17.92	72	53.17
342	17.75	72	52.71
315	17.04	71	52.37
300	18.19	72	50.38
352	19.98	71	52.87
346	18.33	71	52.86
320	17.75	71	52.43
317	17.99	72	51.82
291	16.78	71	50.88
296	17.89	71	46.88
310	17.66	72	41.22
326	19.26	71	42.21
370	18.58	71	47.85
356	18.25	71	54.86
291	17.43	71	51.20
255	18.08	71	48.54
337	19.09	71	44.09
336	18.23	71	43.28
290	16.94	71	50.88
348	19.52	71	54.70
375	18.38	71	57.16
345	18.41	71	56.20
355	17.79	71	44.77
328	18.45	72	43.59
346	18.45	71	52.74
358	19.19	71	53.62
310	17.47	71	51.87
330	18.37	71	52.41
301	16.85	71	49.54
341	18.43	71	54.59
294	16.70	72	50.90
337	18.57	72	53.09
333	17.79	71	52.56
322	18.67	72	51.59
300	17.24	71	51.50
363	20.44	71	53.78
350	18.64	72	53.23
341	18.00	71	52.87
320	18.69	71	52.49
383	19.49	71	57.09
390	19.20	71	57.38
387	18.79	71	58.02
337	16.99	71	54.58
325	18.31	71	52.05
350	18.68	71	53.30
360	19.28	71	53.67
306	17.28	72	51.71
343	18.51	72	52.89
300	16.80	71	51.09
341	18.24	71	53.02
291	16.60	71	51.14
341	18.52	71	52.67
320	17.22	71	52.16
324	18.40	72	52.39
282	17.36	71	50.37
328	19.52	72	52.20
334	18.56	71	47.65
329	17.77	71	41.52
316	18.64	71	52.63
370	18.77	72	56.95
372	18.11	72	57.80
371	18.06	72	57.58
320	16.50	71	53.72
302	18.28	71	51.60
339	18.56	71	43.42
341	19.54	72	46.79
292	19.08	71	42.66
366	19.47	72	44.00
341	17.21	72	50.07
303	17.18	71	51.79
350	20.26	71	55.30
365	18.03	71	56.74
356	18.32	70	54.41
243	17.18	71	47.62
336	21.47	72	40.31
377	19.64	71	45.65
374	18.68	71	45.50
299	17.72	71	48.20
381	19.65	70	57.13
387	18.77	71	58.20
380	18.36	71	57.79
263	15.73	71	51.12
321	20.27	71	52.45
387	19.77	70	56.82
370	18.70	72	57.08
297	18.68	72	51.59
359	18.79	72	55.70
341	17.69	71	53.31
314	17.09	70	51.85
285	18.19	72	51.32
375	19.67	72	56.42
352	17.23	71	55.59
282	16.47	71	50.17
326	19.29	71	52.65
362	19.52	71	53.60
350	18.63	72	53.20
288	17.37	71	51.05
345	17.24	71	55.54
347	15.60	72	56.54
345	15.61	72	56.42
272	13.54	72	43.05
325	17.94	71	66.25
353	16.51	71	56.52
355	16.69	73	56.04
306	14.62	72	52.46
